stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,783.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0
  5-6,64.94,1013.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.72,10.41,0,0,8.05,7.49,0,0,0,0,0,0,0,0,0
  7-9,3.43,10.54,26.85,0,0,29.28,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,413.4,0,0,0,70.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.03,0,0,38.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.58,0,0,0,55.21,0,0,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,20.93,3.64,4.31,0,1.23,0,0,0,0,0,0,0.93,0,10.8,0,0,3.93,68.15,1.08,0,0,1.97,2,13.8,0,4.72,18.74,0,0,0,0,0
 24-34,0,0,0,2.84,0,9.96,1.37,5.24,0,0,0,6.04,0,0,0,0,9.51,0,0,3.47,153.3,0,0,3.47,0,1.53,0,0,0.62,26.22,0,0,1.3,0,0
 36-46,0,0,0,2.41,0,17.48,0,4.8,0,0,0,0,0,0.61,0,0,16.27,0,0,0.83,89.23,0,1.01,0.81,0,0,0,0,0,27.58,0,0,0,0,0
 48-58,0.58,0,0,0.37,0,41.13,0.58,8.9,1.98,0,0,0,0,0,0,0,14.53,0,0,1.03,61.63,0,0.47,0,0,2.93,0,0,0,18.66,0,0,2.52,0,0.82
 60-70,0,0,0,0.9,0,31.1,0,6.8,0,0,0,0,0,0,0,0,25.55,0,0.68,1.64,66.23,0,0,0,0,5.22,0,0,0,14.87,0,0.63,2.44,0,0
 72-82,0,0,0,9.51,0,27.25,0,3.64,0,0,0,1.23,0,0,0,0,23.87,0,1.72,0,48.65,0,0.5,2.62,0,0,0,0,0,8.15,0,0,1.68,0.67,0
 84-94,0,0,0,1.36,0,13.78,0,3.72,1.6,0,0.79,0.73,0,0.9,0,0.6,8.39,0,0,0,16.61,0,0,3.51,0,1.08,0,0,0,0,0,0,4.14,0,0
 96-106,0,0,0,0.65,0,13.45,0,7.14,0,0,0,0,0,0,1.53,0,4.86,1.56,0,1.56,14.53,0,0,0.57,0,0,0,0.7,0,4.57,0.61,0,0,0,0
108-118,0,0,0,1,0,2.83,0,5.19,1.72,0,0,0.83,1.03,0.43,0,0,9.96,0,2.22,0.41,24,0.5,1.19,3.96,0,1.57,0,0,0,0,0,0,0.47,0,0
120,0,0,0,4.12,0,8.25,0,23.15,0,0,0,1.28,0,0,11.05,0,22.08,0,0,0,113.48,0,0,1.02,0,0,0,0,0,14.86,0,8.16,0,0,0
