stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,0,0,0,0,0,0,0,0
 10-12,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,3.39,0,0,22.76,0,0,0
 14-21,0,0,0,11.34,4.6,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0.98,7.25,0,0,0,0,0,2.92,1.21,0
 24-34,0,0,3.03,7.09,0,0,0,0,0,0,0,1.28,8.73,0,0,15.05,0,0,3.46,9.92,0,0,0,0,0,0.66,10.8,0
 36-46,0,0,0,1.66,0,0,2.44,0,0.79,0.58,0,0,4.54,0,0,11.46,0,1.82,1.69,7.72,0.56,0,0,0,0,0.64,15.4,0
 48-58,0,0,0,6.79,0,0,3.19,0,0,0.97,0,0,1.68,0,0,5.38,0.42,0.44,1.37,10.06,4.14,0,0,1.17,0,1.7,5,0
 60-70,0,0,0,1.77,0,0,0,0,0,2.54,0,0,1.58,1.9,0,6.85,0,0,3.93,13.6,3.39,0,1.13,0,0,1.19,11.41,0
 72-82,0,0,0,3.14,0,0,7.48,0,0,0,0.75,0.88,5.1,0,0,19.31,0,3.13,0.83,8.19,1.44,0,3.76,0,0,0,16.9,2.02
 84-94,0,0,0,7.32,0,1.17,11.47,1.17,2.45,2.69,0,0,2.4,0.8,0,7.46,0,3.31,0.75,14.63,1.83,0,0,0,0,4.27,26.02,0
 96-106,0,1.15,0,5.11,0,0,2.33,0.62,1.58,0,5.37,1.15,0.61,0.98,0,16.37,0,4.17,0,8.66,0,0,0.83,0,0,0,9.12,0
108-118,0,0,0,13.48,0,4.65,5.02,0,6.45,0,0,1.27,1.75,7.18,0.43,6.89,0,4.71,1.64,4.75,0,0,1.82,0,0,0,23.76,0
120,0,0,0,30.92,1.84,0,5.06,3.87,0,0,2.33,0,0,1.43,0,4.55,0,2.75,8.48,20.47,0,0,17.25,0,0,0,18.64,5.18
