stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,42.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38,3.56,0,0,532.26,0,0,0,4.19,0,0,272.85,0,0,0,0,0,0
 14-21,0,0,19.8,2.4,0,9.85,0,0,0,6.55,1.88,0,54.11,0,0.8,0,0,0,0,37.78,0.95,0,253.65,257.28,3.18,2.23,0,3.52,0,1.25,0,174.18,0,12294.05,13273.09,66.22,0,0,2.21,0,0
 24-34,0,0,27.35,10.92,0,104.94,3041.79,3.66,4.25,29.53,2.38,2.21,65.08,0,6.81,0,1.37,12.6,2.18,96.76,0.86,0.91,1102.93,1687.59,6.04,11.94,22.14,0,0,68.41,0.98,3.11,2.18,5289.75,7370.72,201.57,0,0,60.01,0,9.65
 36-46,0,0,43.39,0,0,100.36,4705.79,1.15,1.36,22.4,0.72,0,75.87,1.67,3.81,0,0,14.83,13.01,76.01,0,0,712.02,851.66,21.75,9.52,12.39,82.06,0,45.06,0,39.76,1.48,4284.67,549.4,203.6,0,0,39.46,0,9.35
 48-58,0,0,10.4,3.18,0,204.99,2090.84,7.22,1.59,52.62,0.46,0.39,66.4,7.89,0.9,0,0,3.62,8.18,113.46,0,2.26,754.41,767.65,6.03,4.87,9.76,0,0.39,21.77,0,0,2.86,1954,0.83,196.25,0,3.33,14.26,0,31.82
 60-70,0,0,16.61,6.69,0,187.47,1519.04,30.32,1.03,44.79,0,0,94.38,8.83,3.34,0,0,11.84,0,56.96,1.14,0,827.57,438.44,0.75,8.41,8.93,7.3,2.33,18.94,0,4.13,0,966.18,0,85.39,0,1.69,11.54,0,42.4
 72-82,0,2.76,8.62,8.49,0,207.82,1172.67,4.8,2.84,29.96,1.92,0,7.54,2.87,0,5.12,3.32,5.5,0,76.8,0,10.05,482.12,281.46,0,10.46,1.25,9.01,0.87,12.37,0,0,0.55,371.44,0,28.62,2.17,1.61,11.41,1.27,22.77
 84-94,0,0,19.35,35.17,0,225.32,1694.48,1.64,1.21,47.98,1.4,0,20.7,0.71,0.6,6.96,2.96,2.93,4.2,84.23,4.93,2.57,511.67,268.41,0,4.46,6.99,0,0,26.17,0,0,0,587.73,0,37.23,0,4.05,6.53,1.55,11.26
 96-106,0,2.43,20.15,88.86,1.66,234.46,2132.83,8.77,2.66,59.29,4.59,0,46.59,7.75,2.68,4.87,15.48,26.28,0,126.04,0.83,2.9,506.75,423.82,3.72,15.44,13.5,7.23,4.69,49.22,0,0,0,556.18,0,31.35,7.74,2.02,15.96,12.13,20.1
108-118,0,0,15.27,27.67,3.05,196.97,2261.41,2.16,5.27,65.3,4.98,0,64.01,6.16,3.09,4.56,7.39,9.17,1.07,103.83,0,1.08,678.53,293.67,3.89,4.78,5.34,0,4.56,40.62,0,0,0.58,488.69,0,12.59,2.57,2.82,3.16,4.64,24.1
120,0,0,22.63,48.67,3.67,163.91,1895.15,0,0,62.9,3.16,0,26.35,2.24,0,0,15.89,0,0,116.22,0,10.83,599.87,531.6,18.48,14.18,16.15,0,6.29,29.34,0,10.07,0,192.71,0,13.48,1.94,3.44,9.87,0,0
