stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
 24-34,0,0,0,1.59,107.48,0,1.06,0,0.92,0,0,0,0,2.28,0,0,10.97,31.09,1.07,0,0,2.06,0,0.94,19.59,2.79,0,0,0,0
 36-46,3.89,0,0,0.59,373.4,0,0,0,0,0.9,0,0,0,1.37,0,0,55.18,46.72,0,0,0,12.47,0,0,5.12,3.63,0,0.92,0,0
 48-58,0,0,0,25.45,294.82,0,0.41,4.29,0,0,0,0,2.55,1.15,0,0,18.46,52.99,0,0.89,0,0.39,0,0,0,10.96,0,0,0,0
 60-70,0.65,0,0,22.56,244.76,0,0,0,0,0,0,2.12,0,3.46,1.14,0,24.1,69.89,0,0,0,0.72,0,0,0,10.18,1.03,4.37,0,3.87
 72-82,3.59,0.56,0,32.56,143.9,0,0,7.99,0,0,0,0,0,16.33,0,0.76,13.12,31.35,0,0,1.19,0.62,0,0,0,3.53,0,2.14,0,8.52
 84-94,5.49,6.91,0,55.23,163.8,0,0,0,0,0,0,9.96,0,11.93,0,2.23,15.5,35.32,0.69,0,0,1.37,0.7,0,0,11.14,0,0.69,0,7.91
 96-106,1.16,5.87,5.7,17.09,122.15,1.49,0,5.71,0,0,0,0,0,20.91,3.12,0,7.46,52.76,0,0,0,5.8,0,0,0,0,0,1.07,1.08,0
108-118,1.78,1.91,1.2,10.68,123.09,0,0,7.19,0.54,0,0.87,0,0,24.68,0,0.66,44.98,42.83,0,0,0,8.76,0,0,0,0,1,0,0,1.03
120,0,8.83,0,0,102.92,0,0,8.2,3.02,0,0,0,0,17.64,0,0,13.4,29.43,0,0,0,0,0,0,0,4.36,0,0,0,1.1
