stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.4,42.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.2,144.05,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,0,0,22.1,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.36,15.71,0,0,51.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.28,0,0,0,18.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.1,0,0,0,64.67,0,0,0,5.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.32,0,3.57,0,0,0,0.92,2.29,0,0,0,0,0,0,0,0,4.53,0,0,2.21,169.92,2.41,0.98,0.95,1.03,0,0,7.04,0,4.08,113.5,0,0,0,0,0
 24-34,0,0,1.77,0,0.81,0,0,14.67,0,0,0,8.14,0,0,0,0,0,0,0,0,0,4.56,0,0,6.92,722.44,9.77,10.71,0,0,0,6.39,0,0,0,246.45,0,0,1.89,0,0
 36-46,0,0,0.95,0,2.68,0,0,47.97,0,0,1.4,8.01,0,0,0,0,0,0,0,0,0,8.44,0,0,2.79,887.23,0,2.14,0.78,0,0,0,0,0,0,265.75,0,0,0.59,0,0
 48-58,0,0,0,0,5.06,0.45,0,83.4,0,0,3.48,25.37,0,0,0.69,0,0.38,0,0.4,0,0,13.05,0,0,2.29,1100.97,1.01,1.52,0.63,0,0,10.25,0,0,0,181.05,0,0,0,0,3.93
 60-70,0,0,0.91,0,6.05,0.7,0,330.83,4.19,0,1.35,55.47,0,0,0,0,0,0,0,0,0,16.14,0,0,0,1273.78,0,1.09,0.65,0,0,13.06,0,0,0,168.01,0,0,0,0,7.35
 72-82,0,0,0.49,0,14.37,7.48,0,741.3,0,0,1.9,93.54,0.56,0,0,5.07,0,1.38,1.23,0,0,13.49,0,0,0.54,1725.18,1.8,8.47,3.5,0,6.41,0.6,0,0,0,114.37,0.82,0,1.44,0,8.37
 84-94,0,0,2.92,0,2.39,4.62,0,662.74,0,0,0,89.08,0.58,0,0,1.77,0,0.62,0,0,0,21.74,4.49,5.97,0.75,1377.09,0,2.13,4.59,0,0,2.62,0,0.73,0,108.21,3,2.12,0,5.09,0
 96-106,0,0,0.99,0,8.01,22.55,0,920.53,0.59,0,0.64,119.04,1.93,0,0.68,0.8,0,0.75,5.16,16.19,0.77,32.26,0,7.14,4.13,1349.53,0,13.53,12.74,0,0,6.45,0,0,0,51.79,1.88,0,2.67,1.13,0
108-118,0,0,0.85,0,12.8,8.38,3.75,834.71,0.67,3.61,1.59,185.6,4.72,0,0,3.78,0,6.79,4.16,1.72,4.49,49.65,1.14,0.69,0.54,1505.71,0,6.2,6.53,0,0,0.79,0,0,0,68.72,3.18,0,3.25,1.46,1.55
120,0,0,0,0,22.12,3.2,14.01,996.68,18.76,0,0,327.63,0,0,0,3.64,0,0,0,0,0,66.65,0,15.97,0,3060.72,0,0,21.1,0,4.59,2.57,0,0,0,135.99,0,0,1.32,0,0
