stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,186.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.14,370.96,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0
  7-9,0,0,0,0,0,30.53,0,10.91,0,0,0,184.51,7.02,32.91,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,51.11,0,7.49,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,0,0.84,0,0,0,0,0.82,0,1.71,0
 24-34,0,0,0,0.6,0,1.68,0,0,0.99,0,0,13.4,0,0,0,0,1.46,0,4.1
 36-46,0,0,0,0,0,0.69,0,0,0.69,0,0,6.43,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.63,1.07,0,0,0,0.38,2.61,0,0,0,0,0,4.62,0
 60-70,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.27,0
 72-82,0,0,0,0,0,0.61,1.48,0,0,0.5,0,0.58,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.11,0,1.87,0,0,0,0,1.66,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.25,0,0,0,0.86,1.13,0,0,0,0,0,0,1.42
120,0,0,0,0,0,0,0,0,13.21,0,0,3.67,0,0,0,0,0,0,0
