stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,58.55,922.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.37,0,0,0,0,0,0,0,0,0,0
  5-6,74.74,1312.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.47,18.98,0,0,14.89,0,64.47,0,0,0,0,0,0,0,0,0,0
  7-9,79.77,59.22,0,68.93,0,0,119.74,0,0,0,0,74.34,0,0,0,0,0,0,0,0,0,0,0,1241.44,77.55,0,0,616.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.84,0,82.44,0,7.97,97.64,0,0,0,0,37.19,0,0,0,0,0,0,0,0,0,0,0,1189.19,54.45,0,0,510.87,0,0,7.39,0,34.66,10.9,0,0,0,0,0,0
 14-21,0,0,0,1.07,25.43,5.26,5.13,0,0,0.9,1,0,0,0,1.94,0,0,0,0,5.95,0,0,7.03,164,7.43,0,1.09,5.7,0,0,0,25.01,3.19,14.84,44.23,0,0,1.96,0,0
 24-34,0,0,0,0,11.6,0,33.72,0.78,0.68,8.47,4.44,0,3.88,0,3.63,0,0.77,2.2,0,14.07,0.7,0,7.11,389.83,6.97,5.99,4.03,0,0,5.18,0,1.03,0,3.9,91.64,0,0,1.33,0,0
 36-46,0,0,0,0,3.73,0,55.99,0.58,0,20.41,0,0,0,0,0,0,0,2.4,0,30.1,0,0,6.22,546.04,2.01,3.32,2.3,0,0.97,10.56,0,0,0,0,107.46,0,0,2.2,0,1.94
 48-58,0,0,0,0,3.66,0,128.34,0,0.76,33.22,0,0,0,0,0.41,0,0.51,0,0.38,35.16,1.31,0.46,2.16,375.3,0,3.97,0,0,0,0.47,0,0,0,0,84.88,0,0,1.48,0,1.51
 60-70,0,0,0,0,2.5,0.6,273.96,0.79,0.89,23.87,0,0,0,0,0,0,0,0,0,17.53,0,0.87,4.95,354.05,0,1.17,2.17,0,0,5.16,0,0,0,0,46.98,0,0.69,0,0,0
 72-82,0,0,0,0.75,3.98,1.3,225.54,0,0.79,12.98,0,0,0,0,0.63,0,0,0,0,48.43,0,3.85,2.26,268.81,0.73,1.07,0,0,0,3.81,0,0,0.97,0,32.74,1.39,2.43,2.32,0,5.09
 84-94,0,0,0,0,2.34,6.83,189.62,0.84,0.94,16.71,0.98,0,0,1.99,0,0,4.07,0,2.28,45.68,0,4.07,7.38,225.47,0,1.28,0,0,0,4.22,0,0,1.11,0,21.42,0,0,1.16,4.03,0
 96-106,0,0,0.81,0,2.78,2.32,70.12,0.9,0,18.86,0,0,0,0.57,1.12,7.4,0.84,0,0,38.67,0,0,3.09,152.6,0.68,3.52,0.85,0,0,9.05,0,0,0,0,15.6,0,0.83,1.03,1,0.86
108-118,0,0,0,0,1.88,5.07,100.4,0.42,2.21,19.36,3.41,0,1.49,0,0.52,1.7,3.88,0,0,29.16,0,0,1.36,150.73,0,2.45,0.99,0,0,2,0,0,0,0,7.21,0,0,2.87,0,1.88
120,0,0,0,0,14.76,0,36.63,2.6,0,15.16,0,0,0,3.65,1.17,0,0,0,0,42.36,0,0,0,246.35,0,1.15,2.34,0,0,9.08,0,0,0,0,10.2,0,0,7.25,0,0
