stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0
  5-6,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.49,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,27.09,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,12.63,0,0,0,0,0
 14-21,0,2.85,0,0,0,0,0,0,1.03,0,0,3.98,0,0,4.87,0,0,0,338.84,0,2.22,0,0,0
 24-34,0,1.88,0,3.44,0,0,0,0,1.33,0,0,0,5.17,2.25,19.19,0,0.68,0,592.54,0.97,4.5,0,0,2.59
 36-46,0,1.92,0,0.93,0,1.35,1.95,0,0,0,0,1.94,2.26,2.29,19.76,0.72,0,0,608.6,0,4.87,0.93,0,5.53
 48-58,0,0.8,0,3.94,0,6.46,0.37,0.66,0,0.89,0,2.96,0,0,11.09,0.63,0,0,299.23,0,4.2,0,0,0
 60-70,0,7.49,0,0.64,0,9.53,2.57,0,0,12.35,0,0,1.86,0,4.65,0,0,0,279.19,0,2.03,0,0,0
 72-82,0,4.68,0,10.48,0,1.55,1.31,0,0.52,21.56,1.61,0,3.05,0,12.78,0.74,0,0,147.38,0,0,0,0,0
 84-94,0,6.61,2.59,1.63,0,3.6,0,0,3.41,9.76,0,1.69,0,0,0.84,0,0,0,317.3,0,0,0,0.74,0
 96-106,0,11.84,0,3.03,0,1.88,2.52,1.59,2.1,2.93,0,3.43,0.58,0,4.45,0,0,0,239.25,0,0,0,0,0
108-118,0,21.26,0,4.58,1.47,3.8,0,0,3.17,1.84,0,1.04,2.3,0,11.55,0,0,0,182.06,0,0,1.44,0,0
120,0,13.4,0,1.56,0,1.05,4.13,0,0,0,0,1.63,0,0,11.18,0,0,0,143.25,0,0,0,0,0
