stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,70.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11.7,6.09,0,0,0,5.78,0,0,0,0,0,0
 10-12,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0.87,1.07,2.96,0,0,0,0,0,0,0,0,0,2.78,0,0,4.84,0.81,0,0,0.82,0.97,1.09,0,3.13,7.53,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,2.09,0,0,7.44,0,0,0,0,2.81,0,0,0,4.31,0,0
 36-46,0,0,0,0,2.21,0,0,1.03,0,0,0,0,0,0.57,4.25,0,0,24.49,0.72,3.18,0,0,2.12,0,0,0,10.93,1.36,0
 48-58,0,0,0,0,1.32,0,0.41,0.64,0,0,0,0,0,0,9.77,0,0.54,30.17,0,0,0,0,0,0,0,0,7.6,2.13,0
 60-70,0,0,0,0,7.48,0,1.62,1.73,0,0,4.92,0,0,0,6.53,0,0.67,23.89,0,0,0,0,4.25,0,3.39,0,6.66,0,0.7
 72-82,0,0,0.98,5.76,4.53,0.63,0,8.1,0,0.86,0.58,0,0,0,9.55,0,1.75,45.85,0,0,0,0,0.65,0,0,0,16.4,3.12,0
 84-94,0,0,1.98,1.04,3.61,0,2.05,4.91,0,3.18,3.23,1.5,0,0,6.77,0,2.01,50.22,0,0.6,0,0,17.86,0,0.81,0,16.4,0,3.79
 96-106,0,0,2.3,0,0,0,2.3,9.69,1.77,0,3.43,0,0,0,6.48,0,2.18,62.37,0,0.68,0,0,6.38,0,0,0,10.6,4.69,0
108-118,0,0,1.23,1.23,1.29,1.22,0,3.47,0.71,0,3.23,0,1.7,0,12.38,0.83,4.64,35.09,0,1.76,0.85,0,1.64,0,2.33,0,0,3.34,1.09
120,0,0,1.19,0,5.57,0,0,1.51,0,0,8.67,0,0,0,0,0,0,56.4,0,0,0,0,0,0,0,0,0,4.9,0
