stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.08,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0
  7-9,0,0,0,0,0,0,3.42,0,0,0,7.61,0,0,4.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.83,0,0,9.93,0,0,0,0
 14-21,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0
 24-34,0,0,1.95,0,0,0,0,0,1.45,0,17.48,0,0,0,3.57,6.15,0,0
 36-46,0,0,3.78,0,1.87,0,0,0,0,0,45.65,1.4,1,0,0,13.12,0,0
 48-58,0,0.86,4.79,0,0,0,0,0,2.65,2.93,21.73,0,0,0,0,4.01,0,0
 60-70,0,0,31.06,0,0,0,0,0.58,0,0,25.72,0,0,0,0,1.08,1.02,0
 72-82,0,3.53,31.01,0,2.65,0,0,0.66,8.46,0,67.13,0,0.51,0,0,10.11,3.1,0.51
 84-94,0,0,21.64,0,0,0.58,0,0,3.28,0,11.04,0,0,0,0,0,0,0
 96-106,0,0,20.78,0,1.48,0,0,0,0,0,14.84,0,0,0,0,0,1.06,0
108-118,0,1.23,17.74,1.5,0,0,0,0,0,0,15.39,1.06,0,0,0,0,0,0
120,0,0,0,0,0,3.24,0,0,9.4,0,53.46,0,0,0,0,0,4.27,0
