stage,blastomeres,endoderm,eye,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  3-4,38.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.37,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.08,0,0,9.13,0,0
 14-21,0,0,1.2,2.87,0,0,1.51,0,0,25.99,0,0,0,1.26,6.12
 24-34,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0.96
 36-46,0,0,0,0,0,0,0,0,0,2.23,0.69,0,0,0,0
 48-58,0,0,0.46,0.68,0,0,0,0.47,0,6.94,0,0,0,0,1.48
 60-70,0,0,2.61,2.77,0,0,0,0,0,0,0,0,0,0,0.74
 72-82,0,0,0,1.54,0,4.49,0,0,0,1.52,0,0,0,0,0
 84-94,0,0,0,1.8,0.91,2.15,1.62,0,0.68,0,0,0,0,0,0
 96-106,0,0,0.86,0.66,0,10.61,1.52,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,21.67,0,0,0,6.97,0,1.74,0,0,0
120,0,0,0,8.81,0,45.95,0,0,0,0,0,0,0,0,0
