stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,335.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.36,251.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,7.87,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,0,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.81,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,3.05,2.27,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,55.2,13.31,0,0,0,0,0,0,0.87,0,0.81,39.06,0,0,0,0
 24-34,0,0,1.41,0,0,0,3.11,0,0,0,0.75,4.49,0,2.42,1.49,0,10.28,0,1.72,0,0,2.91,159.99,12.54,0,4.58,0,0,0,0,14.4,0.74,0,209.34,0,0,0,0
 36-46,0,0,0,0.73,34.04,0,22.26,0,1.24,0,10.05,0.72,2.07,6.59,25.89,0,1.34,6.81,1.08,0,0,0.9,172.05,19.7,2.77,2.07,0,0,3.1,0,6.47,0,0,305.23,0,0.77,0,0
 48-58,0,0,0,6,0,0,32.91,0.58,0,0,4.47,0,0.69,3.18,8.11,0,0,13.94,14.44,0,0.79,0.64,131.64,1.46,0.47,0.69,0,0,0,0,0.53,0,0,221.21,0,0,0,0
 60-70,0,0,0,8.24,0,0,51.29,0,0.94,0,1.22,0.58,0,15.84,17.08,0,0,4.74,15.57,0,0,0,203.43,14.06,1.33,1.26,0,0,2.35,0,3.71,0,0,144.06,0,0,0,0.97
 72-82,0,0,0,0,0,0,35.28,0,0,0,5.18,0,1.28,4.16,11.34,1.44,1.91,0,21.99,0,0,4.32,126.27,0,0,1.78,0,0,1.62,0,2.66,0,0,119.54,2.22,3.13,2.38,0
 84-94,0,0,1.01,3.86,0,0.59,41.94,0,0,0.87,11.04,0,0,12.06,12.98,0,3.41,15.01,32.38,0,0,3.41,107.27,2.1,2.31,10.83,0,0,0,0,2.83,0,0,80.17,0,1.1,1.63,0
 96-106,0,0,0,9,0,0.8,24.38,1.28,0,2.13,1.48,0.62,4.4,16.54,14.78,0,8.14,0.65,36.04,4.58,0.75,0,97.57,3.12,0,7.53,0,5.4,0,0,4.18,0,0,57.24,0,3.35,0,4.38
108-118,0,0,0,5.27,0.42,3.62,38.58,0.52,2.28,7.27,8.59,1.58,0.49,26.61,41.39,0,9.48,8.13,37.05,0,0,0.85,142.33,7.64,3.85,30.85,0,0.87,0.68,0,1.58,0,0,21.7,0,0,5.5,6.96
120,0,0,0,7.94,0,0,60.07,1.61,0,0,24.03,0,0,20.98,32.93,0,7.8,3.24,52.44,0,0,10.75,125.48,10.16,0,10.95,0,0,6.39,0,2.28,0,0,52.35,0,1.62,0,3.85
