stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,87.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,5.3,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.34,0,0,0,37.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.96,4.75,0,0,37.64,0,0,0,7.59,0,0,0,0,0,0
 14-21,0,0,0,0,5.63,3.07,0,0.87,0,6.73,0.92,0,0,0,0,3.86,0,0,0,19.3,0,7.64,2.83,0,2.28,0,0.87,8.89,1.96,44.36,0,6.48,0,0
 24-34,0,0,0.61,0,8.44,0,7.24,4.72,0,24.25,0,0.67,0,5.85,0,7.93,0,0,2.04,50.8,0,37.6,2.91,0,0,0,0,14.93,0,45.58,0,16.82,0,0
 36-46,0,0,0,0,3.14,0,8.43,0.8,0,17.95,0,0,0,0,0,1.88,0,0,0,82.15,0,38.91,0.8,0,0.76,0,0,22,0,45.26,0,6.1,0,0
 48-58,0,0,0,0,0.61,0,36.08,0,0,27.69,0,0,0,0.46,2.41,12.81,2.63,0,1.13,20.01,0,30.19,4.31,0,0,0,0,3.81,0,45.22,0,0.52,0,0.48
 60-70,0,0,0,0,0.73,0,6.1,0,2.12,24.7,0,0,0,0,0,4.43,0,0,0,27.72,0,14.46,2.87,0,0,0,0,2.65,0,25.09,0,3.78,0,0
 72-82,0,0,4.6,0,0,0,9.18,0.68,0.68,24.81,3.51,0,0,0,1.08,14.31,0,0,0.72,39.49,0,47.93,16.18,0,0,0,0,5.28,0,21.97,0,0,1.24,6.4
 84-94,0,0,1.33,0.74,0,3.01,13.02,2.3,1.05,22.48,5.6,1.01,0,0.61,0.58,20.83,0,0.72,0,27.69,0,31.85,11.23,0,0,1.4,0,5.09,0,8.02,0,2.54,5.55,0
 96-106,0,0,8.01,0,2.41,1.8,8.8,0.96,0,14.49,4.09,0,0,0,5.31,11.27,0,0,0,16.19,0,44.05,12.21,0,0,0,0,7.54,0,16.48,0,3.89,0,0
108-118,0,0,0.71,0,5.63,1.66,12.51,1.55,2.9,19.94,0,0,0,0.45,6.43,11.01,0,2.81,0,14.44,0,31.99,14.42,0,0,0,0,13.72,0,3.89,0,2.76,1.29,0
120,0,0,3.9,0,0,0,25.61,3.98,0,21.18,0,0,2.38,5.57,6.02,2.84,0,8.5,0,33.47,0,33.41,21.74,0,0,0,0,11.18,0,8.98,1.52,0,0,0
