stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,7.47,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,5.39,0,0,0,0,0
 14-21,0,1.49,0,0.87,0,0,0,8.55,0.99,0,0,0,0
 24-34,0,0,0.6,0,0.79,0,2.43,11.91,0,0,6.27,0,0
 36-46,0,0,5.84,3.21,0,0,0,10.63,0,0,5.35,0,0
 48-58,0,0.94,1.59,1.1,4.22,0,0,10.67,0,0.61,2.94,0,1.09
 60-70,0,0,0.96,11.68,0,7.56,0,1.08,0,0,0,0,0
 72-82,0,0,0,1.09,0.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,12.4,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.85,0,0,5.67,0,0,0,3.23,0
108-118,0,0,0,0,1.41,0,0,0,0,0,0,0,0.65
120,0,0,0,0,0,0,0,0,0,0,0,0,2.66
