stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,9.85,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,5.73,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0.99,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,1.47,0,0.96,1.35,0,0,1.82,0
 24-34,0,0,0.6,0,0,15.14,0,0,0,0,0,0,0,0.79,0,0,0,0,0,11.95,0.83,0,0,0,0,1.13,0,2.67,0,0,6.5,0
 36-46,0,0,0,0,0,87.75,0,0.68,0.61,3.28,0,0,0,0,0,0,12.88,0,2.07,24.65,0,0,0,0,0,0,0,8.05,0,0,11.94,0
 48-58,1.29,0,8.43,0,0,294.28,0,4.59,1.05,11.6,0,0,0.62,0.46,0,0.39,13.06,0,1.69,58.28,0,0,0.82,0,5.21,0,0,5.4,0,0,14.36,0
 60-70,0,0,0,0,0,865.94,0,7.53,0,14.28,0,0.9,0,0,0,0,14.98,0,2.07,69.54,0,0,2.55,0,0.83,0,0,0.82,0,0,3.79,0
 72-82,0,0.83,0.51,0,0,798.98,0,0.5,0,32.02,0,0.89,0,0,0,0,24.65,0.92,2.29,49.01,0,1.3,4.16,0,2.42,0,0,3.04,0.56,0,7,0
 84-94,0,1.15,0,0,0,592.77,0,1.42,0,32.25,0,6.69,1.41,0,0,0,16.94,0,1.19,33.24,0,0,2.22,0,8.8,0,0,2.11,0,0.64,11.17,1.02
 96-106,0,0,0,9.78,0,619.08,0,0,0,30.66,0,1.5,8.29,0.82,0.66,0,51.22,0,0,53.07,0,0,0,0,7.29,0.82,0,2.32,0.83,0,21.37,1.25
108-118,0,0,2.15,0,0.55,459.7,0,2.61,0,38.47,0,9.53,0,0.71,0,0,24.11,0,2.4,31.94,0,0,2.26,0,5.46,0,0,0,0,0.99,10.45,1.93
120,0,0,4.26,3.04,0,309.3,1.01,0,0,35.3,2.52,0,0,0,0,1.97,25.43,0,4.26,125.44,0,0,3.16,0,1.06,1.75,0,0,0,0,5.82,0
