stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,27.46,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.78,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0
 48-58,0,0,0,0.55,0,0,0,0,0,1.76,0,2.21,0,32.42,0,0,0,0
 60-70,0,0,4.24,6.16,0,0,1.28,0,0,0,0,0.99,0,248.1,0,0,0,0
 72-82,0,0,0,4.96,2.57,0,2.41,0,5.64,0.51,0,9.61,0.56,272.34,0,0,0,1.11
 84-94,0,1.02,2.22,4.58,2.52,0.96,9.25,0,2.81,1.65,1.21,2.21,1.86,612.58,0.67,0,0,0
 96-106,0,15.83,6.19,32.65,1.28,0,10.11,12.21,2.16,11.31,0,15.43,0,1191.56,0,6.06,1.83,0
108-118,0,6.38,5.4,21.31,0,0.45,7.34,1,3.03,5.5,1.17,28.32,0,444.25,0,0,0,0
120,0,1.06,0,20.3,0,0,5.88,0,0,5.77,0,9.15,0,334.8,0,0,0,0
