stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.88,0,0,0,0,0,0,0,0,24.43,0,0,0,7.01,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,89.16,0,0,0,34.84,0,0,0,0,0
 14-21,0,0,2.61,2.01,0,0,0,1.02,0,0,0,3.18,0,14.17,0,0,0,0,0.86,1.95,3.98,11.67,0
 24-34,0,0.59,1.85,0,0.65,0,0,3.7,0,0,0.96,1.38,0.99,16.09,0,0,0.84,0,0,0,0,11.12,0.79
 36-46,0,0,3.08,0,10.47,0.64,0,12.01,0,0,0,7.27,4.6,35.64,0.64,1.15,1.66,0,0,0,0,13.64,0
 48-58,0,0,3.81,0,7.4,0,0,2.44,0,0,0,3.48,0,4.72,0,1.49,0.38,0,0,0,0,13.54,0.71
 60-70,0,0,0,0,3.27,0,0.9,7.03,0,0,0,3.82,0,5.47,0,0,3.17,0,0,0,0,1.72,0
 72-82,0,0,0.82,0,0,0,0,2.73,1.16,0,0,1.26,0,3.81,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.62,0,0,0,0,0,0,1.46,0.74,7.65,0,0,7.66,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,5.92,0,1.13,0,0,0,2.66,0,1.44,0.66,0,0,0,0,0,0
108-118,0,0,4.04,0,1.01,0,0,4.47,0,0,0,4.7,1.58,6.44,0,3.29,0.98,0,0,0,0,0.58,0
120,0,0,0,0,1.26,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0
