stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,280.86,4525.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.64,0,0,0,0,0,0,0,0
  5-6,142.24,1926.52,0,0,0,0,0,0,0,0,0,0,0,20.28,0,0,0,0,0,0,0,0,0,0,146.43,0,0,0,9.2,1567.71,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.49,0,0,0,17.49,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,175.56,0,0,0,44.14,208.27,9.48,0,0,0,0,0,0,0
 10-12,0,0,0,137.64,0,0,0,10.63,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,502.53,0,0,0,12.82,103.59,9.25,0,9.32,0,0,0,0,0
 14-21,0,0,0.82,10.27,309.9,0.88,0,1.25,0,1.76,0,0,10.33,1.93,0,30.73,0,3.66,0,0,7.08,2.86,0,0,28.88,1,2.89,125.62,0.82,701.39,0.9,2.99,1.48,0,2.22,0,0,0
 24-34,0,0,1.91,2.77,68.1,0,0,2.51,0,11.53,0,0,4.37,0.76,0,62.64,0,29.78,0,0,3.68,12.99,0,0.82,81.96,0,21.81,40.34,0,524.86,0,0,3.01,0,0.59,0,0,0
 36-46,0,0,0,0,74.99,0,0,4.03,0,5.33,0,0,0,14.49,0,57.18,0,9.71,8.96,0,2.61,12.01,0,0.56,68.1,0,11.83,18.97,0,788.7,0,0,2.75,0,3.34,0,0,0
 48-58,0,0,0,0.43,63.7,0,0,4.27,0.57,15.47,0,3.68,2.4,16.68,0,29.86,0,17.3,0,0,2.04,2.88,0,0.42,92.27,0,5.15,29.83,0,420.3,0,0,0,0,6.66,0,0,0
 60-70,0,0,0,0,70.08,0,0,5.64,0,37.78,0,0,0,7.5,0.99,22.62,0,15.08,0,0,0,8.95,0,0,49.43,0,5.03,10.56,0,480.89,0,0,0,0,3.82,7.34,0.96,0
 72-82,0,0,3.09,0,40.94,0,0,16.02,0,20.39,0,1.92,7.97,1.18,1.06,20.15,0,25.53,0,0,4.28,19.9,1.36,0,19.48,0,5.18,24.72,0,368.54,0,0,0,0,4,8.72,3.11,8.58
 84-94,0,0,3.16,0,78.11,0,0,1.61,8.29,37.5,0,5.24,18.82,4.04,1.26,36.12,0.67,33.53,3.21,0,2.62,16.28,0,0,31.27,0,19.92,25.06,0,726.27,0,0,2.49,0,8.65,24.07,0,6.17
 96-106,0,0,5.33,0,120.64,1.23,0.98,22.25,0,29.47,0,4.03,38.6,0,1.85,28.24,0,31.71,8.08,0,4.9,37.49,0,0,43.64,0.6,20.02,35.65,0,646.97,0,0,1.34,0.72,2.81,54.13,2.55,0
108-118,0,0,2.99,0,120.32,0,0,7.29,0.76,44.68,1.34,0,50.37,0,3.58,33.91,0,22.3,0.48,0,6.47,50.48,0,2.17,25.17,0,15.39,32.9,0,509.4,0,0,0.68,0,0,50.76,6.5,0
120,0,0,0,0,135.7,0,0,4.15,0,42.35,0,0,38.24,0,0,26.6,0,15.77,0,9.24,0,16.05,0,0,66.38,0,18.12,45.89,0,433.75,2.5,0,0,0,0,38.09,0,0
