stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.11,0,0,10.01,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,0,0,13.03,0,3.3,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,2.64,0,0,0,0,6.07,0,0,0,0,0,0
 24-34,0,6.58,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,2.37,0,0,2.23,5.56,0,0,0,0,122.26,0,0,0,0,0,0
 36-46,0,1.67,0,0,0,1.18,0,0,0,0,3.82,0,0,0,0.61,0,1.72,0,0,0,3.13,0.72,0,0,0,259.36,0,0,0,0,0,0
 48-58,0,26.18,0,0,4.42,0,2.72,0,2.9,0,2.82,0,0,0,1.71,0,2.95,3.31,0.6,0,9.9,0.42,0.4,0,0,286.44,0,2.42,0,0,0,5.16
 60-70,0,60.14,0,0,1.2,0,2.64,0,3.69,0,0.59,0,1.98,0,0.84,0,6.65,4.16,0,0,2.9,0,0,0,0,367.22,3.99,3.71,0,0,0,0
 72-82,0,21.19,1.89,0,5.76,0,14.68,0,16.07,1.63,0,0,2.53,0,7.08,0,2.96,4.93,0,0.5,11.32,1.01,0,0,0,372.59,0,0,1.16,1.57,0,0
 84-94,0,107.66,6.38,0,23.59,0,29.68,0,2.43,2.88,0,0,13.35,0,16.74,0,8.62,8.7,3.22,0,23.21,6.72,0,0,0,1052.83,0,0,1.11,0,0,0
 96-106,0,109.45,0,0,17.76,1.43,23.7,0,26.11,9.34,0,0,7.87,0,16.78,2.07,20.07,26.48,0,2.5,15.38,24.53,7.06,0,0,609.03,0,7.08,10.35,0,6.68,0
108-118,0,174.6,0.5,1,7.97,0,34.91,0,22.6,13.83,0,0.55,9.38,1.25,17.04,0,11.97,21.38,0,0.97,19.15,15.07,0.75,0,1.1,514.5,0,0,10.27,1.41,0,0
120,0,268.85,0,0,0,0,49.73,8.81,36.02,11.17,0,1.25,1.65,11.11,36.25,0,5.16,11.34,0,0,23.89,26.76,2,0,0,698.47,5.04,1.34,5.36,0,0,0
