stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,53.82,141.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.56,295.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.7,0,20.17,0,0,106.46,0,0,0,0,0,0,0,0,0,0,0,381.22,11.46,0,0,121.19,0,0,0,0,0,0,0,0,0
 10-12,0,7.29,0,84.43,0,15.91,36.69,0,0,0,0,0,0,3.73,0,0,0,0,278.86,5.62,0,0,73.99,0,0,0,26.95,0,0,6.57,0,0
 14-21,0,0,4.29,1.71,29.11,3.13,1.1,0,70.32,2.39,1.35,0,0,1.84,4.77,0,0,0.91,89.74,6.09,8.14,52.86,18.48,2.06,0.91,4.85,73.64,0,2.79,184.33,0,0
 24-34,0,0,0,2.13,16.16,0,7.34,0,50.83,0.64,0,0,0.67,0.84,3.85,0,0,0,70.82,0.95,60.16,21.32,0,0.64,0,0,34.16,0,1.46,78.07,0,0
 36-46,0,0,0,0,1.88,0,3.31,0,27.65,0,0,0,2.75,9.65,2.55,0,0,0,65.04,0,38.81,4.34,0,0,0,0,15.66,0,0,23.82,0,0
 48-58,0,0,1.75,0,3.33,0,8.34,0.4,19.66,0,0,0.55,1.63,0,7.21,1.71,0,0,82.08,0,26.9,15.61,0,0.77,0,0,1.17,0,0,19.81,0,0
 60-70,0,0,0,0,3.86,0,13.64,0,15.21,0,0,0,4.61,0,4.77,0,0,0,73.93,0,26.33,2.98,0,4.34,0,0,1.34,0,0,18.1,0,0
 72-82,0,0,3.87,0,1.96,1.53,9.86,0,11.54,2.83,0.63,0,2.6,0,3.91,1.2,0,0,40.92,0,30.5,20.65,0,0.49,0,0,1.41,0,0,9.49,0,0
 84-94,0,0,3.91,2.02,2.25,0,7.81,0,16.69,1.68,0.56,0,1.24,0,4.47,1.03,1.55,0.67,48.52,0,37,15.3,0,0,1.4,0,2.69,0,0,1.33,0,0
 96-106,0,0,5.74,0,5.71,5.85,3.15,0,27.86,3.32,0.63,0,4.94,0,2.7,0,0,0,25.46,0,41.91,17.77,0,2.38,0,0,4.13,0,0,8.72,1.72,0.8
108-118,0,0,1.96,1.8,0,0,4.32,0,14.47,0,0,0,0.96,0,12.34,0,0,0,20.17,0,26.77,18.36,0,0,0,0,2.84,0.68,0,0.9,0,0.58
120,0,0,0,0,0,0,16.47,0,21.22,16.97,0,0,0,0,5.95,0,6.89,0,19.8,0,20.22,25.13,0,0,0,0,4.99,0,0,0,1.45,0
