stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,285.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0
  5-6,15.53,190.01,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,25.39,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,9.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,9.32,0,1.4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0.63,0,2.52,2.67,0,0,11.92,0,2.44,0,0,0
 36-46,0,0,0,1.01,0,1.48,1.3,0,0,0,0.73,0,0,0,0,0,13.14,7.99,0,0,22.12,3.12,6.46,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.38,0,0,0.44,0,2.18,1.11,0,4.64,2.46,0,0,14.42,0,0,0,0,0
 60-70,0,0,0,5.86,0,0,3.56,0,0,0,0,1.53,0,0,0,0,11.86,7.2,0,0,88.48,0,1.18,0,0,0
 72-82,0,0,0,1.89,0.56,13.72,1.99,5.79,0,2.07,0,6.61,0,3.17,0.94,1.68,5.72,5.14,0,0,53.39,0,0,0,0,0
 84-94,0,0,0,3.81,0.94,0,0.79,0,0,1.22,0,6.41,0,0.67,0,0,0,10.3,0.95,0,105.97,0,1.36,0,0,0
 96-106,0,0,0,24.04,0,4.02,0,2.41,3.58,0,0,5.89,0,0.66,1.61,0,9.51,25.13,0,0,149.22,0,3.9,0,0,0.91
108-118,0,0,0,29.33,0,0,0.67,7.6,2.87,0,0,9,0.76,3.32,6.83,0,7.93,9.7,0,0,186.83,0,0,0.58,3.77,0
120,0,0,0,49,0,4.08,1.59,6.22,0,0,0,5.49,0,12.3,1.35,0,19.72,10.25,0,0,157.05,0,0,0,0,0
