stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,ionocyte,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,50,0,0,0,0,0,0,0,11.98,0,0,0
  5-6,6.12,16.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,1.85,0.84,1.08,0.94,1.16
 24-34,0,0,0,0,0,0,0,0,4.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.93,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,6.99,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.27,0,0,0
 72-82,0,0,1.05,0,0,0.94,0,0.7,0,0.79,0,0,0
 84-94,0,0,0.57,0.6,0.66,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.5,2.93,0,0,0.63,0,0,0
