stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.27,5.22,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,3.66,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,36.52,0,4.56,0,12.71,0,0,0
 36-46,0,0,0,3.17,0,1.75,0,0,0,0,219.44,0,5.15,0,32.25,0,0,0
 48-58,0,0,0,36.66,0,0.78,0,0,0,0.41,234.27,4.52,1.1,0,27.76,3.13,0,0
 60-70,0,1.73,0,114.08,0,9.66,0,1.32,0,0,432.14,0,1.19,0,49.71,0,0,0
 72-82,0,0.71,0,93.03,0,10.32,1.9,6.74,0,0,380.58,0,1.28,0,33.29,0,0,6.18
 84-94,0,2.1,0,85.45,0.55,4.89,0,2.79,0,1.49,292.07,0,0,2.68,22.98,0,0,0
 96-106,0,0.85,0,41.29,0,0,0,0,0,0,176.53,0,1.65,0,18.75,0,0,0
108-118,0,0.71,2.98,91.26,0,1.17,0,1.55,0,0,267.29,0,2.67,0,16.55,0,4.93,0
120,0,1.18,0,111.9,0,15.34,0,0,1.1,0,676.95,0,4.76,0,21.38,0,0,0
