stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1720.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.23,0,0,0,0,0,0,0,0,0
  5-6,31.76,883.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,11.43,28.94,0,0,0,0,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.23,0,0,88.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.61,0,7.07,0,0,24.11,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,276.25,0,0,30.77,0,0,6.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.02,2.39,0.97,0,0,0,1.62,1.5,1,0,0,0,0,0,0,1.65,0.96,0,0,0,95.26,0,0.81,0,9.48,3.15,0,0.83,80.88,0,0,0,0,1.36
 24-34,0,0,0.62,0.76,2.2,0,0.82,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,0,0,0,352.77,2.76,0.79,0,0,0,0,0.62,103.19,0,0,6.77,0,0
 36-46,0,0,0,0,0,0,7.01,0,0,0,1.3,0,0,0,0,1.61,0,0.94,0,0.77,1.05,0,0,0,785.36,1.9,1.03,0,0,0,0.56,0,147.45,0,0,0,0,0.57
 48-58,0,0,0,0,2.33,0,85.42,0,0,0.45,15.97,0,3.4,0,0,0.81,0,2.2,0,2.55,5.84,0,0,1.18,855.24,1.31,1.08,0,0.48,0,0.37,0,174.31,0,0,0.78,0,7.21
 60-70,0,0,0,0,0,0,205.34,0,0.59,0,7.34,0,1.71,0,0,0.59,0,1.08,0,0,7.03,4.53,0.63,0,795.31,0,0,0,7.86,0,0,0,127.63,0,0,0,0,8.91
 72-82,0,0,0,0,0.5,1.08,219.79,0,0,0.6,12.79,0,0,0,0,0.83,2.92,5,0,8.68,18.28,0,2.08,0,772.08,0.88,1.32,0,3.57,0,0,0,84.18,0,3.81,3.48,4.44,3.06
 84-94,0,0,0,0,2.64,0.6,166.6,0,0,0,9.76,3.94,0,1.66,0,0,0,8.3,0,0.56,8.54,0,0.81,0.95,403.7,0,1.4,0,1.74,0,0,0,66.64,0.83,2.8,1.47,3.45,0
 96-106,0,0,0,0,3.17,0,96.79,0.57,0,0,13.17,0.93,0,0.99,0,4.33,0,5.84,0,0,9,3.21,0,0,346.14,1.23,5.62,0,8.16,0,0,0,18.66,0.99,0.78,1.35,0.64,23.73
108-118,0,0,0,0,5.58,0,94.89,0,0,1.03,7.42,1.29,0,0,0,1.47,0,4.51,0.48,0,13.24,0,0,0,645.95,9.45,4.62,0,5.32,0,2.05,0,31.81,0,2.44,0,1.96,5.09
120,0,0,0,0,11.83,1.18,128.74,0,0,0,33.94,1.2,0,0,4.21,0,0,2.84,0,0,1.94,0,0,0,721.51,0,7.61,0,1.13,0,0,0,20.94,0,6.25,0,0,0
