stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  3-4,0,24.05,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.82,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,4.6,0,0,0,48.45,4.51,0,0
 10-12,0,0,10.39,0,10.24,0,0,0,28.28,10.85,0,0
 14-21,0,0,0,0.88,0,0,0,0,2.79,0,1.77,2.54
 24-34,0,0,0,0.6,0,0,0,0,4.96,0,0,0.64
 36-46,0,0,0,0,1.2,0,0,0,4.26,0,0,0
 48-58,0,0,0,0,0,0,0,0.64,0,0,0,0.79
 72-82,0,0,0,0,0,0.53,0,0,0,0,0,0
 84-94,0,0,0,0,1.22,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.62,0,0,0,0,0
120,0,0,0,0,2.75,0,0,0,0,0,0,0
