stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste
  5-6,7.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.88,0,0,0
 10-12,0,0,0,0,0,0,0,3.82,0,0,0
 14-21,0,0,0,0,0,0,0,0,8.73,0,0
 24-34,0,0,0,0,0,2.81,5.18,0,0,0,0
 36-46,0,0,0,0,0,12.08,7.81,0,0,0,0
 48-58,0,0,0,0,0,2.63,2.07,0,0,0.55,0
 60-70,0,0,0,0,0,0,7.9,0,0,0,0
 72-82,0,0,0,0,0,0,3.83,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.91,0,0
 96-106,0,0,1.6,1.32,0.66,2.99,2.11,0,3.78,0,0
108-118,0,1.13,0,1.13,0,0,4.49,0,1.5,0,3.59
120,0,0,0,1.25,0,0,0,0,0,0,0
