stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0
  7-9,5.67,0,0,20.07,0,0,20.36,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,88.68,0,0,0,60.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.33,0,11.24,0,6.13,20.18,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,252.3,12.74,0,0,222.61,0,0,0,14.05,0,7.74,0,0,0,0,0
 14-21,0,0,0,0,16.16,9.86,5.57,0,1.08,0.85,0,5.27,0,1.67,0,0,0,30.49,0,0,12.05,106.68,1.69,2.14,1.09,2.12,0,1.22,15.09,6.85,10.39,22.3,28.75,0,0,0,0
 24-34,0.88,0,1.29,0,3.09,0.67,13.67,0.62,0.62,1.08,2.21,4.79,0,8.41,0,0,0,27.32,0,0,12.22,127.67,0,2.66,0.62,0,0,0,1.59,14.58,0.63,1.3,16.64,0,0,8.88,0
 36-46,0,0,0,0,0.98,0,22.82,1.29,0.64,0,0,0.73,0,0.67,0,0,0,9.55,0,0,3.5,49.08,0,0.57,0,0,0,0,0,11.68,0,0,15.66,0,0,4.05,0
 48-58,0,0,0,0,4.16,0,34.76,2.52,6.11,0,0,0.48,0,0,0,0,0,8.79,0,0,1.02,27.81,0,0,0,0,0,0,0,5.02,0,0,9.59,0,0.42,1.32,0
 60-70,0,0,0,0,1.97,0,23.64,0.81,3.3,9.81,0,0,0,0.85,0,1.57,0,4.88,0,0.88,1.46,21.64,0,0,0,0,0,0,0,6.16,0,0,3.2,0,0,0.58,0
 72-82,0,0,0,0,0,0,14.6,0.59,4.96,21.38,0,1.77,0,0,1.31,0,1.65,12.11,1.59,0,0,12.43,0,1.1,0,0,0,0,0,1.71,0,0,0,0,0,4.78,0
 84-94,0,0,0,0,0,0,2.93,1.43,3.13,48.18,0,4.15,0,0,3.75,0,10.18,15.39,0,0,16.99,18.38,0,0,1.29,0,0,0,0,5.51,0,0,3.86,0,0,0.62,0
 96-106,0,0,1.37,0,0.71,3.78,35.65,0,13.65,85.46,0,0,0.6,0,1.05,0,6.89,9.15,0,0.78,2.73,17.68,0,2.84,0,0,0,4.71,0,5.78,0,0,3.26,0,0,0,2.14
108-118,0,0,0,0,0.43,0,10.33,2.07,20.96,187.56,0,0.63,0,0,6.7,0,2.65,17.54,0,2.72,1.98,24.29,0,0,1.04,0,4.63,5.05,0,9.86,1.41,0,1.42,1.08,0,2.71,1.86
120,0,0,0,0,1.58,0,13.02,0,5.5,189.28,0,0,0,0,0,0,0,5.07,0,0,1.12,4.84,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0
