stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,9.68,29.66,20.81,0,7.21,0,0,0,0,0,8.69,0,3.77,0.87,0,0,0,141.51,0,98.7,128.6,0,0,7.62,2.98,0,40.07,23.06,0,0,43.1,6.69,0,0,0,0,0
 24-34,0,0,2.35,9.51,17.23,0,27.38,0,0,3.92,3.1,1.88,2.38,0,0,2.68,4.18,1.14,0,427.81,0,156.45,178.57,1.3,3.87,4.84,0,0,62.14,0.93,0.78,0,2.9,17.51,0,0,16.07,0,0
 36-46,0,0,0.59,11.87,12.06,0,7.14,0,0,13.9,9.59,0,1.05,0.64,0,10.89,1.24,0,0,525.42,1.52,124.32,147.92,5.95,2.81,8.4,0,0,25.79,2.44,0,0,0,8.72,0,0,3.13,0,0.87
 48-58,0,0.46,0,3.51,22.36,0,23.46,0.74,0,32.33,15.25,0.46,2.12,0.58,0,0.38,0.74,0,0,521.93,3.16,77.09,126.25,0.5,0,14.45,0,0.61,16.53,0,0.4,0,0,9.53,0,0.64,4.42,0,0
 60-70,0,0,0,5.83,69.74,1,20.76,2.35,1.18,18.18,15.31,0,1.21,0,0.58,0,0,0,0,614.51,11.85,61.27,106.52,0,0,2.48,0,1.62,27.91,0,0,0,0,3.15,0,3.62,14.17,0.64,0
 72-82,0,1.64,0,3.72,577.98,0,58.94,0.82,8.58,44.05,5.08,0,3.14,0,0,0,1.78,1.2,0,766.13,21.11,70.41,85.97,0,0,17.5,0,1.77,22.11,0,0,0,0,20.25,0.94,9.28,11.09,12.55,0
 84-94,0.62,0,0,4.63,522.23,0,64.6,0,0,30.56,2.94,0,3.7,2.99,0.61,0,0,0,6.7,614.53,4.12,54.04,76.16,1.46,0,17.95,0,4.76,110.46,0,0,0,0,0,0,8.21,19.57,11.66,0
 96-106,0,6.67,0,12.61,919.01,0,56.6,0.64,0.59,13.71,9.18,2.43,9.06,0,0,0.92,1,0.63,0,573.75,12.26,42.61,146.61,0,2.19,25.58,0,6.76,79.67,0,0,0,0,5.91,0,11.84,5.51,18.7,0
108-118,0,2.2,0,13.37,584.08,2.4,56.91,0,4.24,25.55,12.03,2.32,9.49,0.75,3.29,0,1.99,0,0,727.34,13.27,39.7,112.69,0,0.95,26.84,0,15.73,61.36,0,0,0.49,0,0,0,0,15.77,8.95,3.93
120,0,7.9,0,13.43,409.77,6.35,77.5,0,1.86,17.76,0,0,2.11,7.83,0,4.74,0,0,0,649.7,9.83,59.91,218.63,0,0,22.96,0,8.92,66.48,0,0,0,0,3.5,0,18.49,16.7,17.37,0
