stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03,7.1,0,0,13.88,0,0,0,0,0,0,0,0,0
 10-12,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.68,0,0,0,54.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,15.29,1.02,1.78,0,12.69,0,66.32,1,0.81,0,0,0,0,0,2.54,0,0,7.35,153.03,528.3,0,0.94,15.66,0,0.86,117.65,52.36,557.39,0,0,0,0
 24-34,0,0,50.93,0.9,15.94,0,125.67,0.72,81.81,0,0,0,0,0,0,0,12.84,0,0,7.8,377.66,107.61,2.75,2.26,0,9.12,0,6.06,26.74,357.96,0,0,4.14,0
 36-46,0,0,8.81,0,41.94,0.67,172.93,0,122.29,0,0.63,0,0,0,0,0,40.49,0.73,0,9.75,316.03,23.23,1.13,1.31,0,0.95,4.73,2.22,0,282.56,0,0,0,0
 48-58,0,0,3.73,0,29.5,0,171.64,0,162.86,0.38,0,0,0,0,0,0,37.29,0,0,1.86,83.04,4.32,0,2.05,0,1.72,0.43,0,0,165,0,0,0,0
 60-70,0,0,6.93,0,13.28,0,221.86,1.69,97.21,0,0.87,0,0,0,0,0,103.06,3.03,7.24,7.62,49.15,0.66,0,0.89,0,8.52,1.2,0,0,57.87,0,0,0,0
 72-82,0,0,9.24,0,25.33,0,219.44,10.18,54.42,0,0,0,0,0,0,1.36,169.18,0,0.72,0.69,58.07,0,0,9.28,0,13.94,0,0,0,39.12,0,0,0,4.11
 84-94,0,0,35.62,0,31.73,6.23,303.47,6.51,50.16,0,0,0,1.65,0,0,0.83,114.45,0,2.79,1.54,56.42,0,0,6.79,0,29.04,7.26,0,0,20.42,1.94,0,0.65,0
 96-106,0,0,23.02,0,28.7,0.71,321,2.78,58.47,0,3.58,1.31,3.87,1.89,2.21,6.49,142.19,0,1.25,4.05,35.05,0,0,5.68,0,43.29,0,0,0,14.2,0,0,0,0
108-118,0,4.9,50.02,0.96,65.44,0,574.09,2.46,59.27,1.12,3.05,0,4.24,0,0,0,281.49,0,0,4.1,42.67,1.87,0,5.49,0,51.68,3.02,0,0,9.27,0,0.99,0,1.2
120,0,0,65.3,0,64.9,5.95,536.48,2.41,57.49,0,6.72,6.88,0,0,0,0,353.01,6.77,0,2.81,33.9,0,0,5.18,0,50.52,4.97,0,0,16.52,1.28,0,0,0
