stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.69,5.71,31.25,16.46,0,23.6,0,0,0,6.87,0,1.35,0,0,4.64,0,0,1.19,0,14.82,0,0,8.7,249.7,6.12,1.85,6.9,3.35,0.85,47.31,0,0,30.17,88.33,0,0,2.58,0,0
 24-34,0,1.5,7.3,4.92,0,16.47,0,0,0,5.78,1.08,0,0,0.6,0.66,1.76,0.68,0,0,23.74,1.66,0,4.91,222.66,0,1.06,2.24,0,3.77,0,3.49,0,2.05,52.33,0,0,10.98,0,1.3
 36-46,0,0,3.02,0,0,30.45,0.68,0,0,11.53,0.74,0,1.78,0,10.12,0,0.66,1.34,0,13.8,0,0,4.24,215.59,0,0.9,1.41,0,0,0,1.32,8.42,0,67.21,0,0,0.77,0,1.8
 48-58,0,0,0.49,0,0,71.61,0,0.82,0,14.53,0.37,0,0.55,0.45,0,0,0,0,2.48,18.89,2.42,3.86,2.04,212.37,0,1.62,0.8,0,8.46,0,5.19,0.46,0,52.94,0,0,1.42,0,0
 60-70,0,0,6,0,0,58.29,0,0,1.67,9.78,0,0,0.6,0,3.35,0,0,0,0,25.6,1.94,0,0.68,119.29,0,0,0,0,7.87,0,0,0,0,27.02,0,0.71,1.43,0,0
 72-82,1.97,0,3.1,11.77,0,56.95,0,0.53,0,17.78,1.26,0,2.58,0,0.55,0,0,0,0,38.56,0,0.9,0.82,118.98,0,0.67,0.56,0,4.35,0,0,0,0,13.97,0,0,4.88,3.41,0
 84-94,0,0,2.71,4.76,0,76.4,0,1.36,0,25.32,3.11,0,3.68,11.14,3.02,1.03,0,0,0,29.74,3.93,0,1.62,72.88,0.6,0,0,0,7.77,0,0,5.42,0,20.1,0,0,2.27,0.62,12.41
 96-106,0,1.03,16.74,13.75,0,32.52,0,1.32,0,11.14,4.08,0,0,1.37,4.79,1.77,0,1.2,0,19.19,0.67,0,1.48,68.26,0,0,2.26,0,12.51,0,0,0.6,0,11.02,2.08,0,0.65,0.66,0
108-118,0.91,0,9.27,3.78,4.99,40.85,0.64,0.5,0,8.57,2.33,0,0.8,2.19,2.19,0.89,2.36,0,0,19.67,0,3.09,3.6,92.27,3.15,1.66,1.37,0,16.81,0,0,0,0,7.52,1.52,0,6.05,0,1.77
120,0,0,4.81,7.46,0,20.1,0,0,1.66,25.55,21.72,0,0,4.22,0,5.33,0,8.18,0,55.8,0,0,0,108.52,1.12,0,0,0,2.89,0,0,0,0,14.95,4.1,1.95,0,5.89,0
