stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.91,2035.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.98,0,0,0,0,0,0,0,0,0
  5-6,187.63,4441.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.87,21.5,0,0,79.14,0,59.42,0,0,0,0,0,0,0,0,0
  7-9,81.78,241.52,337.09,0,5.98,707.93,0,0,0,0,93.66,0,0,0,0,0,0,0,0,0,0,6789.31,69.6,0,0,2103.57,0,9.84,0,0,0,0,0,0,0,0,0
 10-12,0,77.84,173.55,0,28.61,384.28,0,0,0,0,22.05,0,0,0,0,0,3.73,0,0,0,0,4027.5,43.52,0,0,1300.8,0,12.63,13.07,0,231.82,0,0,0,0,0,0
 14-21,0,0,2.24,21.64,2.85,17.87,0,0,10.17,0.97,0,0,0,0,0,0,0,13.26,0,0,9.84,299.44,6.84,1.16,0.84,5.82,0,3.41,0,19.2,3.33,6.85,64.42,0,0,1.17,0
 24-34,0,0,1.77,14,0.61,65.86,0,0,4.71,0,0,1,2.53,0,0,0,1.76,51.36,0,0,12.13,464.61,4.44,3.08,5.04,0,0,11.77,0,0,0,1.29,79.44,0,0,1.54,0
 36-46,0,0,0,23.74,1.4,101.25,0,0,9.57,9.98,0,0,0,0,1.81,0,0,33.31,0,2.19,13.36,315.52,0.67,1.35,0,0,0,15.06,0,0,0.63,0,63.63,0,0,0.96,0
 48-58,0,0,0,7.84,0,69.75,4.57,0.9,3.82,0,0,0.88,0,0,0,0,1.87,30.44,0,0,10.31,99.2,0,0,0,0,0,2.66,0,0,0,0,12.17,0,0,1.01,2.15
 60-70,0,0,0,26.44,0,83.42,1.55,0,9.8,1.07,0,0,0,0,0.72,0,0,40.7,0,0.91,3.38,62.97,2.71,0,3.62,0,0,3.72,0,0,0,0,3.34,0,0,2.81,11.41
 72-82,0,0,0,11.35,7.62,23.07,0.51,0.5,28,1.54,0.59,0,2.22,0,0,0,0,19.16,0,0,1.65,25.43,0,1.14,0,0,0,1.83,0,0,0,0,0.91,0,0,0.62,0.82
 84-94,0,0,0,9.24,11.85,30.45,2.24,0,14.11,0,0,2.61,0,0,0,0,0,28.23,0,1.21,3.09,26.38,0.94,1.04,0,0,0.83,4.08,0,0,0,0,0,0.83,0,2.98,0
 96-106,0,0,0,9.58,8.56,39.26,1.16,2.15,12.25,0.68,0,0,8.85,1.12,0,0.77,0,24.35,0,0.79,3.55,39.28,0.62,0,0,0,0,2.87,0,0,0,0,0,0,0,1.19,0
108-118,0,0,0,13.61,7.87,19.19,1.17,0.94,15.34,0,0,0,1.88,0,0.44,0,1.15,11.59,0.53,2.46,3.29,35.75,2.06,1.87,5.92,0,1.37,3.47,0,0,0,0,0,0.41,0.56,0.67,0
120,0,0,0,15.51,2.32,22.71,1.03,0,36.86,0,0,0,1.51,3.26,0,0,0,28.65,0,0,9.3,34.12,0,0,0,0,0,3.7,0,0,0,0,2.54,0,0,5.44,0
