stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.26,375.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.71,520.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,7.94,0,0,9.5,14.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,10.77,0,13.69,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.08,15.69,0,0,7.79,9.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.36,7.35,0,0,5.48,0,4.37,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,0,2.96,28.95,0,0,0,0,0,0,0,0,0,0,13.46,8.76,0,0,0,102.7,0,0,1.4,0,4.24,0,1.46,3.98,0,3.04,130.92,0,0,1.6,0,1.01
 24-34,0,0,0,0,5.87,0,21.17,0.78,0,0,0,0,0,0,0.64,0,0,17.02,18.14,0,0,1.46,339.18,0,0,0,0,37.42,0,0,6.7,1.04,0.81,48.88,0,0,1.81,0,7.98
 36-46,0,0,0,0,0,0,19.17,0,0,12.5,0.67,0,0,0,0,0,0,0.7,39.6,0,0,0,214.65,0,0,0,0,122.67,0.81,0,8.87,0,0,11.57,0,0,0,0,1.16
 48-58,1.15,0,0,0,1.57,0,13.97,0,0,72.74,0,0,0.85,0,0,0,1.41,0.5,35.66,0,0,0.98,234.21,0,0,0,0,68.42,0,0,11.35,0,0,12.94,0,0,0,0,4.82
 60-70,0,0,0,0,10.76,0,42.81,0.79,0,96.33,12.87,0,0,0,0,0,3.2,0,38.61,0.85,0,2.81,181.45,0,0,0,0,150.23,0,0,5.02,0,0,1.71,0.92,0,4.26,0,0
 72-82,0,0,1.98,0,7.55,5.18,27.95,1.31,0,113.73,12.61,0,0,0,0,1.51,0,0,49.53,0.92,0.55,0,157.18,0,0,0.56,0,103.11,0,0,5.51,0,0,2.5,2.76,0.81,0,0,4.49
 84-94,0,0,1.92,0,23.47,2.58,15.43,1.26,0.6,104.78,25.17,5.71,0,1.14,2.32,2.31,0,0,18.37,0.57,0,0,148.71,0,0,1.51,0,252.07,0,0,13.07,0,0,0,6.24,0,0,0,12.97
 96-106,0,0,0,1.83,32.06,6.25,39.08,0.87,0,107.71,31.91,0,1.05,1.54,1.11,6.26,11.32,0,57.53,9.15,3.23,0,147.91,0,1.87,0,0,279.69,0,0,9.15,0,0,0,26.59,3.73,0,0,1.61
108-118,0,0,3.75,1.75,34.21,1.35,10.38,4.68,0,134.72,50.32,0,0.82,4.01,0,0.49,4.24,0,38.81,3.44,1.9,0.93,151.75,0,0.93,0,0,202.31,0,0,9.62,0,0,0,24.42,0,0,0,0
120,0,0,11.35,0,53.9,0,10.23,7.08,1.88,140.28,46.23,0,1.18,2.78,0,4.65,9.49,0,51.13,1.65,0,0,147.44,9.23,0,0,0,129.45,0,0,28.15,0,0,1.95,14.5,0,0,3.69,0
