stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,28.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.37,0,0,0,4.81,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,13.63,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.92,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.55,0,0,0,27.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.57,0,0,9.68,0,0,0,1.05,0,0,0,0,0,0,0,0,0.89,1.46,0,3.18,70.05,0,0,0,1.65,0,0,11.07,0.96,0,10.75,14.39,0,0,0,0,0
 24-34,0,0,0.75,0,5.51,0,0,24.91,0.67,0,0.99,6.34,0,0,1.23,0,0,0,0,0,2.53,9.12,0,2.7,249.61,0,14.28,1.77,0,0,0.75,0,0,0,0.66,69.39,0,0,0.91,0,8.74
 36-46,0,0,0,0,0,0,0,44.16,2.76,0,1.42,25.72,1.58,0,0.72,1.03,0,2.07,0,1.24,0,5.3,0.89,0.59,599.54,0.65,33.76,0,0,0,1.36,0,0,0,0,91.14,0,0,0,0,2.48
 48-58,0,0,0,0,1.55,0,0,238.53,0.53,0.47,11.95,67.98,0,0,0,0,0.37,2.45,0,4.78,1.69,17.49,8.91,3.58,1123.89,0,20.52,1.71,0,0,8.33,0,0,0,0,118.93,0,0,3.04,0,0
 60-70,0,0,0,0,2.73,0,0.62,883.85,1.35,0,9.06,86.21,1.23,0,0.69,0,0,7.66,0,17.02,7.55,33.91,1.6,0,1488.63,0,24.91,0.93,0,0,2.04,0,0,0,0,195.95,0,0,0.93,0,6.99
 72-82,0,0,2.14,0,3.11,5.7,1.12,1656.17,1.37,0,8.04,83,13.3,0,0,0,0,8.33,0,59.98,0,47.76,0.57,2.62,1665.26,0.52,60.72,3.94,0,1.3,1.7,0,0,0,0,162.16,0.97,1.82,6.34,1.35,4.41
 84-94,0,0,3.53,1.67,19.22,0,7.18,1034.86,2.3,0,0.83,51.62,10.77,0,0,4.46,0.68,5.95,0,107.63,0,52.47,2.33,10.87,1131.43,0.66,38.62,7.8,0,0,5.02,0,0,0.69,0,99.39,0,2.47,4.1,1.26,0
 96-106,0,0,0,0,14.55,5.3,6.43,1581.5,1.41,0,1.49,68.42,12.95,0,1.61,2.3,0,1.89,2.57,279.12,0.75,36.49,0,8.23,876.16,0.62,87.91,8.97,0,4.67,11.74,0,0,0,0,42.96,0,3.91,4.57,0,0
108-118,0,0,0.75,0,9.17,0,18.08,1091.6,0,0,1.73,84.4,4.72,0,0.52,1.34,1.24,2.99,1.62,275.44,0,47.85,0,2.01,1728.21,3.56,51.9,9.04,0,1.82,9.75,0,0,0,0,41.33,0.89,1.53,7.82,0.44,0
120,0,0,0,0,33.81,4.03,1.6,911.48,0,0,1.44,27.03,3.14,0,0,7.29,0,0,0,168.23,0,31.71,0,4.02,1944.52,0,78.71,0,0,0,1.42,0,0,0,0,5.26,0,2.09,8.99,3.35,0
