stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,0,343.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.69,0,0,0,0,0,0,0.87,1.17,0,0,0,0,0
 24-34,0.71,0.83,15.19,0.92,0,7333.66,0,3.66,0,6.91,0.92,0,0,2.18,0,1.26,0.74,0,25.53,0,0,10.87,413.8,1.56,4.94,0.61,22.81,1.85,4.38,2.66,32.38,0,0,28.4,0,0
 36-46,0,0,3.16,0.76,0,12251.02,4.42,0.89,1.77,25.98,0,0.92,2.59,0,4.26,0,7.26,7.14,23.33,0,0,6.16,471.28,1.42,5.41,1.25,40.1,0,0,0,77.08,0,0,27.02,0,10.75
 48-58,0,0,4.82,1.34,0,8546.68,0,3.6,0.99,21.43,0,1.62,0.6,0,0,0,0.39,22.43,35.26,0,0,9.06,342.99,22.13,0,0.45,14.06,0,0,0,72.62,0,0,3.32,0,31.13
 60-70,0,0,10.41,0.68,0,9932.13,0,2.25,0.96,12.33,0,0,0,0,0,0,0,2.53,34.54,0,0,3.98,183.53,0,3.41,0.65,9.94,0,0,0,50.84,0,0,8.88,0,3.54
 72-82,0.5,0,9.92,24.59,0,7573.19,0,0.5,15.26,13.19,0,2.7,0,0,1.78,1.89,1.49,0,49.97,1.05,0,10.9,144.21,0,0.87,1.46,2.55,0,0,0,10.22,0,3.15,18.72,0.64,3.87
 84-94,0,0,10.59,2.65,0,8039.78,0,0,0,21.08,1.01,0,7.12,0,0,0,1.62,0,17.69,3.57,10.01,4.55,132.77,1.43,0,0.66,16.47,0,0,0,14.43,0,7.43,34.27,8.75,0
 96-106,1.06,0,6.28,12.95,28.81,4783.56,0,0,0,14.17,1.29,0,2.06,0,0,0,0,7.1,24.38,0,0,5.37,52.92,0,2.22,0,16.58,0,0,0,2.47,3.44,0,26.85,0,11.07
108-118,0,0,8.04,11.59,0,7098.42,0,0,1.99,18.63,4.67,1.72,2.21,1.56,0,0,9.24,0,69.28,2.33,2.61,4.94,196.2,4.16,3.12,3.28,8.63,0,0,0,0,1.7,1.53,15.67,1.28,0
120,0,0,0,3.33,1.71,7240.78,1.95,0,1.92,0,4.39,0,0,0,0,2.13,3.23,0,34.41,0,0,10.14,194.45,0,5.13,0,8.06,0,0,0,19.34,2.39,0,23.08,0,0
