stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,129.11,2981.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.46,0,0,0,0,0,0,0,0,0
  5-6,188.6,4548.23,0,0,0,0,0,0,0,0,0,0,44.35,0,0,0,0,0,0,0,0,0,0,0,206.52,37.3,0,0,52.31,0,40.36,0,0,0,0,0,0,0,0,0
  7-9,91.12,90.06,256.97,0,0,0,317.57,0,0,0,0,0,116.93,0,0,0,0,0,0,0,0,0,0,0,2888.86,121.95,0,0,1118.11,0,14.33,19.51,0,0,0,0,0,0,0,0
 10-12,0,60.93,123.79,0,16.91,0,170.81,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,1381.26,5.62,0,0,563.75,0,0,17.48,3.57,139.14,0,0,0,0,0,0
 14-21,0,0.9,3.9,38.38,8.54,0,28.43,0,0,0,8.09,0.85,0,0,0,0,0,0,0,0,37.52,0,0,22.96,573.82,5.35,1.37,2.12,8.79,0,7.62,0,69.78,5.36,23.76,156.91,0,0,0,0
 24-34,0,0,0,9.8,3.3,0,141.08,0,0,0,20.15,0,0,0.62,1.59,0,0.63,1.9,1.26,0,103.64,0,0.91,36.46,1391.46,6.75,4,5.78,0,0,23.99,0,0,1.78,4.35,322.16,0,12.48,0,10.9
 36-46,0,0,0,22.43,0,0,358.75,0,2.76,1.22,22.95,0,0,0,0.94,0,1.11,0.7,0,0,96,0,2.61,24.68,864.65,2.05,3.7,0,0,0,38.9,0,0,0,0.6,195.18,0,15.19,0,1.63
 48-58,0,0,0,14.46,4.29,0,474.33,0.7,0,0,25.18,1.78,0,0.58,0.92,3.14,3.58,5.93,0,6.39,106.99,1.67,5.65,24.03,455.07,1.16,0,6.15,0,0,6.39,0,0,0,0,69.24,0,12.76,0,5.26
 60-70,0,0,0,12.63,0,0,262.58,0,0,7.21,20.81,1.86,0,0.71,0.95,0,0.76,0,0.68,0,81.15,0,5.59,8.67,185.44,0,0,1.63,0,0,0.57,0,0,0,0,17.24,0,2.83,0,0
 72-82,0,0,0,15.88,2.86,0,87.24,0,0,0,28.01,1.96,0,1.61,6.53,0,0,0.61,11.63,0,87.75,0,6.33,9.99,115.85,0,1.41,1.81,0,0,0,0,0,1.8,0,1.71,0.67,6.84,0,0
 84-94,0,0,0,6.12,8.15,0,74.12,0,0,0.6,21.91,3.71,0,0,2.92,0,0.75,0,0,0,67.37,0,6.8,8.48,66.39,3.42,0,3.04,0,0,0,0,0,0.56,0,2.33,1.4,2.83,0,0
 96-106,0,0,0,11.21,0.78,0,64.74,0,0,0,12.37,1.43,0,2.08,2.69,0,0.92,0,3.66,0,44.86,0,1.74,7.3,104.17,2.06,0.73,2.57,0,0,2.4,0,0,0.69,0,0,0,14.46,0.68,0
108-118,0,0,0,11.25,1.96,1.06,74.09,0,0,0,26.15,4,0,0,4.32,0.64,0.51,0.87,2.7,0,45.15,0,2.36,12.59,133.31,1.69,1.93,4.16,0,2.63,3.75,0,0,0.52,0,0.44,0,3.02,0,0
120,0,0,0,3.14,5.52,0,67.4,0,0,0,13.55,0,0,0,2.76,0,0,2.64,0,0,35.62,0,0,2.6,118.97,2.06,2.9,3.28,0,0,0,0,0,0,0,4.62,1.14,2.55,0,0
