stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.68,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34,0,0,0,31.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,28.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,40.36,29.52,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,3.3,0,0,1.58,17.65,0,0,3.77,454.64,1.49,0,0,0.88,0,0,0,0,0
 24-34,0,0,16.87,14.38,0,0,0.61,0,0.74,0,0.67,9.89,0,0,3.78,0.83,0.78,2.14,0,1.68,3.86,0,1.06,73.63,3.45,15.7,5.36,1254.46,0,15.66,0.65,7.38,0,0,1.07,0,0
 36-46,0,0,3.53,12.21,0,0,8.69,0,4.06,0,5.71,7.71,2.56,0,0,0,1.45,23.02,3.95,9.12,9.84,0,0.7,67.79,0,10.29,3.02,1367.28,0,7.61,0,12.29,0,0,0.68,0,0
 48-58,0,0,2.42,24.24,0,0,19.53,0,14.09,0,17.05,26.42,0.88,0,2.29,0.53,0,13.75,0,9.88,5.75,0,1.39,63.7,2.91,10.36,0.92,986.86,0,5.02,0,13.3,0,0,0,0,0
 60-70,0,0,2.79,53.84,0,0,17.15,0,18.09,0,54.2,41.85,2.19,0,2.32,0,0,9.13,0,6.58,4.31,0,0.8,91.39,0,9.98,5.92,1049.43,0,7,0,10.68,7.66,0,0,0,0
 72-82,0,1.12,3.16,74.49,0,0,31.31,0,10.99,1.17,295.45,73.62,1.45,0,6.36,0,5,2.88,0,16.53,6.69,0,0,131.71,0,9.24,2.4,867.44,0,5.08,0,4.63,9.28,1.92,1.85,0,3.27
 84-94,0,1.8,6.04,165.84,2.29,0.98,30.37,0,34.62,0,278.76,119.58,0,0.8,12.29,0,0,18.71,0,13.44,14.86,4.62,2.28,142.39,0,44.5,2.3,2241.97,0,4.66,0,3.48,25.26,3,0,0,0
 96-106,0,1.07,5.04,238.16,7,0.97,79.16,0.71,29.15,1.12,331.69,123.1,0,2.8,16.55,0,2.36,12.51,0,25.22,19.26,0,1.23,134.7,0,32.56,2.41,1787.88,0,5.43,0,0,29.9,1.87,6.91,1.67,3.29
108-118,0,0,7.88,256.15,0,0.62,10.95,0,72.45,0,411.05,143.39,0,4.79,37.12,0.87,6.68,27.73,0,25.39,27.61,1.11,1.88,118.45,2.34,31.77,5.95,1795.61,0,4.19,0,2.04,54.53,2.09,2.59,0,1.39
120,0,3.99,1.27,271.6,0,0,22.26,0,64.14,3.22,445.04,76.88,3.22,2.4,14.5,8.41,4.16,34.86,0,40.59,19.92,0,11.09,113.26,0,17.07,0,1120.77,0,5.82,0,0,19.87,5.87,0,0,0
