stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.06,13.65,3.71,6.23,0,0,2.22,0,0,0,0,0,0,1.41,0,10.24,0,0,6.06,81.84,0,0,0,1.79,19.95,14.45,0,14.24,15.83,35.52,0,0,2.67,0,0
 24-34,0,0,1.37,0,13.97,1.06,0.84,3,1.16,1.01,0,0.69,2.57,0,0,0,16.45,0,0,9.48,191.19,0.67,1.05,1.59,0,14.04,0,1.63,0,1.38,50.27,0,0,0,0,0
 36-46,0,0,8.52,0,23.26,0,3.07,3.95,0,0,0,0.77,0,0,1.94,0,15.6,0,0,3.37,177.54,0,0,1.63,0,8.82,0,0.63,0,0,24.75,0,0,1.09,0,10.19
 48-58,0,0,2.13,0,84.42,2,4.66,9.51,0,0.66,0.49,0.55,0,0.45,0,0,23.96,0,0.71,0.51,164.15,2.16,0.59,0,0,7.2,0,0,0,0,37.26,0,0,1.89,0,0.54
 60-70,0,0,11.62,0,361.94,4.06,0,18.71,0,0,1.43,0,0.85,0,0,0,21.38,0,0,0.67,524.01,0,2.33,1.42,0,12.36,0,1.54,0,0,73.19,0,0,3.28,0,0
 72-82,0,0,0.57,4.01,234.25,0,0,11.99,1.36,0,0.67,0,0,1.6,0.62,0,21.84,0.61,0.72,2.95,249.3,0,1.72,2,0,1.6,0,0.49,0,0,11.66,0,0,5.25,0,3.76
 84-94,0,0,3.75,2.99,190.82,0,0,6.69,0.63,1.31,0,0,0,0,0,0,14.82,0,7.92,1.57,103.4,0,0.8,0.66,0,4.82,0,3.5,0,0,6.31,0,0,0.58,0.68,3.26
 96-106,0.94,0,3.17,7.45,161.71,0,1.34,9.07,1.06,1.61,1.51,0.8,0.72,0,6.67,0,24.02,0,0,1.63,205.13,2.03,4.46,0,0,5.9,0,1.15,0,0,2.06,1.83,0,12.44,2.1,0
108-118,0,0,8.36,0,145.24,0,1.36,8.54,0.56,0,3.13,0,2.16,0,0,0,17.58,2.77,0,2.42,175.33,0,0.43,0,0,2.39,0,0.84,0,0,7.3,0,0,1.88,0,0
120,0,0,9.23,1.62,177.07,0,1.74,13.45,1.09,0,0,0,0,0,2.18,1.6,35.85,0,0,0,299.37,0,0,1.05,0,2.62,0,1.73,0,0,10.89,1.84,2.68,2.43,0,0
