stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.2,0,0,0,0,0,6.46,0,0,0,0,0,2.16,8.52,0,0,0,1.52,0,0,1.4,0,0,0,0.98
 24-34,0,1.16,0.84,0,8.81,0,0,0,6.65,0,0,0.99,0.94,0,0.78,16.98,5.86,1.39,0,0,1.18,0,0,1.18,0,0,4.24
 36-46,0,3.71,0,0,180.92,0,0,0,21.06,0,0,0,2.08,0,0,45.77,0,0,0,0,6.2,0,0,3.87,0,0,0.56
 48-58,0,0,0.69,0,280.69,2.24,0,0,8.46,0,0,0,1.24,0.54,0,67.45,0,0,0,0,0,0,0,9.15,0,0,1.36
 60-70,0,4.05,0,0,305.75,1.57,0,0,37.47,0,0,0,5.41,0,0,38.45,0,0,0,0,0,0,0,5.88,0,0,1.82
 72-82,0,2.4,0,0,237.32,2.71,2.26,0,46.57,0,0,0,3.58,0,0,48.64,0,0,2.28,0,1.09,0,0,2.82,0,0,2.18
 84-94,0,0.95,0,0,215.93,6.84,1.59,0,48.94,0,0,0,0.69,1.27,0,52.56,0,0,0,0,0,0,0,1.13,0,0,5.85
 96-106,0,0.83,0.63,0,135.65,3.23,0,0,92.93,0,10.14,0,7.88,0,1.81,12.02,0,0,0,0,0,0,0,0,0,2.45,0.56
108-118,0,6.97,1.12,3.71,188.28,3.6,2.38,0,111.04,0.61,1.06,0,0.44,0,1.37,58.56,0,0,0,0,0,0.41,0,0,0.58,0,5
120,0,0,3.81,0,229.45,2.8,1.73,0,123.05,0,0,0,7.96,0,0,51.05,0,0,0,0,1.35,0,0,0,0,0,7.27
