stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,119.46,3938.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.26,0,0,0,0,0,0,0,0,0
  5-6,297.34,7373.92,15.64,0,0,0,0,0,0,0,0,31.98,0,0,0,0,0,0,0,0,0,0,0,370.99,34.85,0,0,61.23,0,89.86,0,0,0,0,0,0,0,0,0
  7-9,171.55,280.75,370.44,0,5.98,659.35,0,0,0,0,0,177.84,0,0,0,0,0,0,0,0,0,0,0,6246.61,130.24,0,0,2117.66,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,94.81,255.04,0,40.4,476.69,0,0,0,0,0,44.81,0,0,0,0,0,0,0,0,0,0,0,4551.84,139.78,0,0,1394.65,0,9.29,16.98,10.07,184.7,11.37,3.28,0,0,0,0
 14-21,0,0,6.02,91.94,29.39,60.11,0,0,0,17.62,3.89,0,0,0,5.8,0,0,0,0,71.39,0,0,42.9,991.27,11.75,4.12,10.39,23.76,0,13.77,1.23,88.29,6.48,60.86,314.24,0,0,6.66,0
 24-34,0,0,1.35,23.08,5.56,119.36,0,2.57,1.24,38.79,0.67,2.95,1.18,0,1.6,0.9,0.74,4.12,3.84,132.32,1.24,0,43.17,1603.07,3.39,3.73,6.29,0,0,5.99,0,2.62,3.76,7.39,359.64,0,0,31.31,3.23
 36-46,0,0,0,19.57,0.58,212.69,0,8.98,0,21.92,0,0,2.56,2.23,2.43,0,0,2.86,0,71.45,0,4.38,24.94,1152.49,0,0.61,4.75,0,0,13.86,0,1.78,0,0.83,231.26,0,0.85,3.6,6.88
 48-58,0.77,0,0,9.69,0,367.33,6.82,0,1.37,49.79,0.51,0,1.43,0,0.37,0,0.66,0.87,0,146.71,0,4.73,26.36,748.72,1.87,1.43,3.05,0,0,2.69,0.65,0.92,0,0,186.85,0,0,6.86,0
 60-70,0,0,0,6.61,0,261.84,0,4.81,3.59,62.03,1.02,0,0,0,0,0,0.67,0,0,82.8,0,4.75,6.41,394.67,5.92,2.64,0,0,0.84,5.04,0,0,0,0,63.12,0,1.29,3.43,3.54
 72-82,0,0,0,2.63,2.61,122.72,0,0,0.95,27.73,0,0,2.03,0.49,2.91,0,0,0,0,63.41,0,5.77,10.19,243.43,0,1.52,6.17,0,0,1.3,0,0,1.5,0,36.91,0,1.12,4.09,0
 84-94,0,0,0,8.69,4.34,56.33,0,0.59,1.42,30.02,1.33,0,0.8,1.96,0.73,1.81,1.05,0,0,64.84,0,3.34,10.67,155.54,0,0,4.11,0,1.01,2.82,0,0,0.7,0,10.84,2.36,0,8.49,0
 96-106,0,0,0,8.92,3.72,83.71,0,9.63,2.48,21.5,0.74,0,0.79,2.11,0,0,0,4.34,0,43.73,0,1.31,9.02,121.33,0,0.57,4.89,0,0,1.2,0,0,0,0,8.75,0,3.96,0.65,0
108-118,0,0,0,6.18,2.34,50.9,0,1.51,4.1,23.64,3.98,0,0,2.23,0.86,0,1.3,0,0,26.92,0,0.69,5.08,211.53,0,1.09,4,0,0.76,0.94,0,0,0.42,0,2.73,0.85,0,6.35,0.41
120,0,0,0,10.59,4.45,100.07,0,1.21,1.29,35.34,1.42,0,4.89,3.39,5.23,0,0,0,0,20.68,0,0,8,227.26,1.25,0,1.1,0,4.76,1.45,0,0,0,0,0,0,0,14.61,0
