stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,9.55,0,0,0,0,0,0,0,0,0
 10-12,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84,8.82,0,0,0,0,0,0,0,0,0
 14-21,0,3.53,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,80.32,0,0.99,1.6,1.21,0,0,0,0,0
 24-34,0,8.52,0,0,17.88,0,0,0,0,1.02,0,0,2.6,0.61,0,1.06,9.34,0,4.33,0,139.31,1.38,0,0,3.9,0,0,0,0,0
 36-46,0,0,0,0,42.05,0.58,0.56,0,0,0,0,0,0,0,0,1.11,5.56,0,4.01,0,76.64,0,0,0,2.18,0,0,0.82,0,0
 48-58,0,0,0,0,21.88,0.39,0,0,0,0,0,0,0,0,0,0,5,0,1.11,0,33.61,0,0,0,2.03,0,0,0,0,0
 60-70,0,0,0,0,427.73,0,0,0,0,0,0,0,1.79,0.73,0,0,10.41,0,0,0,16.5,1.17,0,0,2.44,0,0,4.08,0,0
 72-82,0,0.98,1.49,0,945.63,0,0,5.58,0,0,0,0,9.25,0,0,0,5.78,0,0.55,0,16.35,0,0,0,0,2.31,0,0,0,0
 84-94,0,4.86,0.89,0,1147.98,1.12,0,2.9,0,0.58,0,0.73,4.57,2.12,0,0,2.37,0,0.64,0,21.6,0,0,0,0,0,0,0.86,0,0
 96-106,0,1.47,3.19,0,797.94,0,0,4,0,0,0.66,0,1.57,0,1.69,0,28.36,2,0.74,0,21.21,0,0,0,2.95,0.83,0,0.87,0,0
108-118,0,8.39,0,0,766.61,0,0,4.32,1.27,2.11,0,0,2.23,0,0,0,7.08,0,2.39,0,2.45,0.67,0.99,0,2.37,0,0.99,0,0,1.44
120,0,0,0,3.02,858.1,0,0,0,0,0,0,0,0,0,0,4.33,16.52,0,0,0,12,0,0,0,0,0,0,0,5.91,0
