stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,0,0,0,0,0,0,0
  5-6,6.75,104.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.34,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.1,9.61,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.48,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,70.46,5.62,0,0,39.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.75,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,50.98,0,0,0,2.98,0,2.95,2.03,0.85,3.43,17.57,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,13.56,0,0,0,6.64,0,0,0,0,0,0,0,0,0,8.99,0,0,6.28,151.61,0,2.59,0,0,0,3.28,0,0,1.75,38.66,0,0,10.47,0,0
 36-46,0,0,0,0,0,0,0,37.25,3.24,0,0.64,10.02,0,0,0,0,0,0,0,0,0,23.12,1.01,0,3.46,178.35,20.48,2.6,1.01,0,0,6.71,0,6.61,0,31.54,0,0,0.65,0,0
 48-58,0,0,0,0,2.07,0.58,0,41.58,0,0,0,25.94,0.46,0,0.69,0,0,0,0,0,0.54,28.62,0.7,0.87,1.23,187.76,0,0,0,0,0,3.05,0,0,0,37.83,0,0,2.33,0,4.6
 60-70,0,0,1.56,0,6.19,0,0,161.97,0,1.03,0,21.91,0,0,0.71,0.95,0,0,0,0,0,20.58,0,0,7.16,307.23,1.31,1.09,0,0,0,10.79,0,2.7,0,38.22,0,1.17,2.23,1.92,0
 72-82,0,0,0.87,0,4.27,3.58,0,85.88,0.72,0,0.57,18.69,0,0,2.58,0,0.61,0,0.88,4.65,0.68,36,1.8,0.49,4.19,188.17,0,1.59,0,0,0,4.21,0,0,0,26.97,0.53,0,4.51,1.09,0
 84-94,0,0,0,0,12.45,0,0,77.05,0,0.56,0,19.13,0.66,0,0,1.21,0,2,0,0,1.74,45.86,0,0.85,0,155.29,2.14,0,0,0,0.57,11.62,0,0,0,20.66,0,2.17,0.66,0.91,0
 96-106,0,0,1.08,0,6.36,10.18,0,71.21,0,0,2.41,24.79,0,0,0,2.1,0.92,1.8,0.66,0,0,46.8,0,0,0.63,136.19,0,0.6,2.38,0,0,4.46,0,0.62,0,8.35,0.61,0,4.91,1.96,1.26
108-118,0,0,0,0,18.31,0,2.73,66.58,0,0,0,17.59,3.06,0,0.69,2.09,0,0,0,0,0,39,0,7.13,2.28,145.39,1.26,1.97,2.21,0,0,5.15,0,0,0,0,0.48,0,5.24,0.91,3.43
120,0,0,0,0,5.86,0,0,54.66,4.81,2.87,2.59,13.44,4,0,0,0,0,0,0,0,0,14.84,0,0,3.66,125.72,15.98,1.32,3.16,0,0,9.24,0,0,0,0,1.84,0,0,0,0
