stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0.81,19.08,3.4,18.7,0,0,0,1.89,1.13,0.86,0,0,0,0,0,0,10.97,0,0,6.46,236.48,1.03,2.88,0,4.07,0,1.1,14.86,1.18,0,10.77,63.33,0,0.84
 24-34,1.6,4.05,5.07,137.59,0,0,0.72,11.09,0,0,0,0.62,0,0,0.72,4.99,38.71,0,0,11.09,910.86,1.45,4.22,6.05,0,9.45,0,0,0,0.87,1.54,180.57,5.35,0.93
 36-46,0,6.84,17.8,289.8,0,0,0,25.57,0,0,0,0.64,0,0,0.77,1.25,62.49,0,0,9.05,648.31,0,0.57,0,0,11.33,0,0,0,0,0,105.15,6.25,0
 48-58,0,4.78,4.47,312.94,0,0.79,0.91,24.49,0.51,0,1.74,0,3.71,0,0,1.37,41.8,0,1.06,9.56,420.93,0,0.9,0,0,1.96,0,0,0,0,0,27.01,8.59,0
 60-70,0,5.51,1.93,276.24,0,2.09,0,33.51,10.99,1.21,0,1.88,0,0,0,0,57.84,1.53,32.74,5.54,244.42,8.54,0,0,0,0,0,0,0,0,0,18.52,0,0
 72-82,0,5.05,0,70.19,0,0,0,13.74,0,0,0,0,0,0,0,0.8,21.3,0,0.72,4.37,66.76,0,1.63,0.53,0,0,0,0,0,0,0,2.52,2.84,0
 84-94,0,5,2.58,35.44,0,0,0,5.04,0,0,0,3.75,0,0,0,0,28.55,0,1.43,1.12,47.28,1.11,0,1.59,0,0,0,0,0,0,0,9.76,4.47,0
 96-106,0,0,2.26,33.39,0.86,0,0,3.01,1.03,0,0,0.95,0,0,0,0,8.65,0,0,1.79,19.09,0,0,0.63,0,0,0,0,0,0,0,0,0.62,0
108-118,0,5,9.61,36.08,0,0,0,7.93,1.37,0,0,1.38,0,0,0.87,1.96,8.53,0,0,1.06,46.82,0,0.5,0,0,0,0,0,0,0,0,0,0.83,1
120,0,8.76,9.19,104.42,0,1.08,0,14.31,5.03,0,0,7.59,0,2.36,0,0,23.43,0,4.16,5.33,161.27,0,0,0,0,0,0,0,0,0,0,0,24.79,0
