stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.78,0,0,0,0,0,0,0,0,9.51,0,2.03,0,0.89,0.94,1.02,2.19,0,0,0,0
 24-34,0,0,0.68,0,0,0,0,1.59,1.36,4.95,1.76,0,0,0,0,0,0.65,0,0,0,0
 36-46,0,0,1.75,0.64,0,0,0,4.83,0.61,13.08,2.36,0,1.67,0,0,0,3.42,0,0,0,0
 48-58,0,0,0.67,0,0.74,0,0,1.73,0,5.55,0,0.69,0,0,0,0,4.09,0,0,0,0
 60-70,0.91,0.61,13.89,0,1.28,0,0,2.78,0,11.95,2.82,0,0,0,0,0,6.52,0,0,0,0
 72-82,0,1.94,9.9,0,3.76,0,0,1.17,0,19.85,1.02,0,0,0,0,0,10.61,0,0,0,0
 84-94,0,1.66,11.36,0,0,0,2.15,1.64,0,6.74,0,0,0,0,0,0,6.71,1.67,0,0,0
 96-106,0,15.88,5.05,0,2.74,1.11,0,6.03,0,20.64,4.15,0,0,0,0,0,1.92,0,0,1.44,1.42
108-118,0,0.97,0,0,1.55,0,0,1.18,0.55,16.1,0,0,1.05,0,0,0,0,0,1.4,0,0
120,1.73,0,1.01,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0
