stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.99,0,0,15.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,11.7,0,0,0,0,0,0,0,0,0
 14-21,0,0.96,0.85,2.24,0,0,0,0,0,0,0,0,3.04,0,0,6.91,0,0.8,0,0,0,2.49,1.01,1.96,0,0,0,0
 24-34,0,0,0,0.91,0.61,0,0,0,0,0,0,0,2.85,0,0,14.68,0,0,0,0,0,0,0,7.97,0,0,2.95,0
 36-46,0,0,0,13.09,0,3.8,0,0,4.81,0,0.57,0,0.66,0,0,14.66,0,0.57,0,0,0,0,0,2.81,0,0,0,0
 48-58,0,0,0,4.83,0,0.74,0,0,3.41,0,0,0,2.2,0,0,10.12,0,0,0,0,5.43,0,0,0.64,0,0,0.54,0
 60-70,0,0,0,18.51,0,0,0,0,1.17,3.74,0,0,1.37,0,1.09,19.99,0.75,0,0,0,0,0,0,3.97,0,0,0,0
 72-82,0,0,0,33.13,0,6.5,0.64,0,0,0,0,0,11.57,0.55,1.65,28.08,0,1.99,0,0,0,0,0,3.29,0,1.41,0,0.53
 84-94,0,0,0,6.32,0,5.53,0,0.88,0.95,0,0,0,5.38,0,0,0.62,0,0,0,0.6,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.3,0,5.7,0,0,0,0,1.83,0,11.41,0,0,23.69,0,0.66,0,0,0,0,0,6.92,0,0,0.6,1.81
108-118,0,0.43,0,3.97,0,4.26,0,0,1.14,0.55,0.84,0.55,16.91,0,1.12,28.79,0,1.13,0,0,0,0,0,0,0.81,0,1.44,0
