stage,blastomeres,endoderm,epidermis,eye,fast.muscle,gut,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,99.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,223.81,0,0,0,0,0,0,0,0,0,0,0,0,7.98,17.77,0,0,0,0
  7-9,0,6.75,0,13.18,0,0,0,0,0,0,0,20.1,0,7.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.27,0,36.63,0,0,0,0,0
 14-21,0,0,1.71,0,0,0,0,0,0.93,0,0.95,10.18,0,0,1.11,5.73,5.54,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,0,0,0.67,0,0.98,0,0.62,0,0.74
 36-46,0,0,2.28,0,0,0,0,0,0.64,0,0,0,0.67,0,0.91,0,0,0,0
 48-58,0,0,2.56,0,0,0,0,0,0.79,0.39,0,4.31,0,0,0,0,0,0,0
 60-70,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.79,0,0.7,0,0,0,0,0,1.11,0,0,0,0,0,0,0
 84-94,0,0,0.62,0,1,0,0,0,2.75,0,0,1.2,0,0,0.65,0,0,0,0
 96-106,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0.78,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0
120,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,5.87,0,0,0,0
