stage,blastomeres,eye,glial,heart,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.21,0,0,0,0,0,0,0,0,0,0,0,0,28.35,0,0,0,0
  5-6,33.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.07,0,0,5.98,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,3.37,0,0,0
 14-21,0,10.17,0,0,0,0,0,0,1.2,0.8,0,0,0,0,0,0.88,0,20.38
 24-34,0,5.76,0,0,0,9.63,0.6,0,0,4.85,0.65,0,0,2.12,0,0,0.73,112.35
 36-46,0,8.86,0,0,0,49.88,0,0,0,23.58,0,0.74,0,0,0,0,0,82.69
 48-58,0,16.91,0,0,6.6,33.13,0.96,0,0,1.25,0,0,0,0,0,0,1.55,92.78
 60-70,0,29.75,0,1.7,8.47,13.8,2.79,0,0,0.98,0,0,0,3.21,0,0,1.08,94.15
 72-82,0,25.68,1.21,0,17.29,32.61,0,0,5.8,1.16,0,0,0,0,0,0,0,90.57
 84-94,0,31.03,1.71,0,19.15,35.67,0,0,0,9.61,0,0,0,0,0,0,0,31.43
 96-106,0,21.7,0.99,0,3.98,12.14,0,0,0,0,0,0,0,0,0,0,0,32.32
108-118,0,31.6,0.73,0,8.08,46.22,0,4.51,0.99,3.43,0,0,0,0,0,0,0,35.61
120,0,0,0,0,7.57,28.52,5.94,0,0,0,0,0,0,0,0,0,0,24.46
