stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,15.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.36,0,0,0,36.51,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,70.69,2.18,0.9,0,0,0,0,21.16,0,0,13.9,0,0,17.04,0.95,3.5,8.97,22.49,0,0,0,2.46,0,2.95,0.86,0,0.83,140.77,0,1.06,0,0
 24-34,0,2.51,44.3,2.76,0,0,3.53,3.42,0,44.06,0,0,252.54,0,80.06,3.49,37.41,0,38.72,0,0,0.63,0,1.74,0,0,0,3.61,0.68,69.75,0,0,0,0
 36-46,0,0,33.43,0.88,0,0,1.35,0,2.55,18.64,0,0,166.99,1.21,39.53,3.66,13.55,0,21.07,0,0,0,0,12.51,0,0,0,0,0,4.02,0,6.8,0,0
 48-58,0,0,0,0,0,0,11.73,0,1.76,5.33,0,0,49.54,0,12.57,7.48,5.49,0,43.36,0,0,0,0,2.03,0,0,0,0,0,29.88,0,0,0,0
 60-70,0,0,0,12.2,0,0,4.54,0,5.5,1.31,0,4.79,51.23,0,442.85,3.85,0,0,67.27,0,0,0,0,0,0,0,0,0,0,116.48,0,0,0,0
 72-82,0,0,0,7.23,0,6.88,12.53,0,1.03,68.3,0.87,0,68.75,0,226.76,9.68,0,0.51,24.47,0,0,0,0,8.14,4.96,0,0,0,0,93.88,0,0,0,16.9
 84-94,0,0,0.57,21.87,1.55,11.67,23.47,0.62,0,132.98,0,2.11,183.08,3.51,480.38,6.14,0,0,47.9,0,0,0,0,1.5,0,0,0,0,0,53.96,0,0,0,3.26
 96-106,0,0,1.52,21,0,4.2,19.86,8.65,2.85,94.99,0,0,123.5,3.33,295.46,16.48,1.01,3.98,17.3,0,2.32,0,0,1.32,0,0,0,0,0,121.31,0.77,0,1.13,7.04
108-118,0,0.52,0,12.02,0.48,31.88,5.25,0,3.23,123.38,1.01,2.36,195.78,1.11,1015.83,9.92,5.79,0.94,27.97,0,0,0,0,7.35,0,0,0,0,0,83.68,0,5.8,0,5.9
120,0,0,0,35.21,5.57,112.11,17.44,0,11.5,143.83,0,3.07,74.89,0,1191.35,7.28,0,0,59.24,0,0,0,0,0,0,0,0,0,0,175.78,0,4.55,0,3.58
