stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.39,0,0,0,5.57,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,2.35,0.95,0,1.13,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,2.87,64.42,0,0.87,0,1.37,0,0.93,44.73,0,0,0,0,0
 24-34,0,2.76,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,482.69,7.74,13.91,10.81,0,0,0.76,149.11,0,0,0,0,0
 36-46,0,0,0,0,0,0,52.93,0,1.14,0,5.25,0,0.57,0,0,0,0,0,0,0,0,0.6,1267,0,14.29,12.92,0,0,0,256,0,0,0,0,0
 48-58,0,0,0,3.63,0,0,183.21,1.63,6.61,0.4,21.95,0,1.05,0,0,0,1.87,0,1.28,10.77,0,4.79,1762.78,0,3.99,14.49,0,0,0,262.87,0,0,0.5,0,11.15
 60-70,0,0.57,0,0,0,0,392.88,0,0,0,25.69,0.62,0,0,0,0,0,0,0,22.01,0,1.99,1818.84,0,4.48,28.3,0,6.72,0,261.52,0,0,0,0,6.81
 72-82,0,2.12,0,3.91,4.14,0,407.16,0,0,0,22.99,0.99,0,0,0,1.98,2.68,0,4.12,17.57,0,0,1680.29,0,13.05,15.4,0,0,0,171.85,0,0,1.49,0,0
 84-94,0,0,0,3.11,0.88,0,285.99,2.93,0,0,41.41,9.27,1.02,0,0,0,1.23,0,0,11.16,0,0,1198.23,0,9.87,44.78,0,0,0,101.8,0.6,0.88,0.59,0,0
 96-106,0,3.44,0,8.93,0,0,342.75,0.9,0.58,2,32.48,0,0.58,0.66,0,0,5.3,1.54,0,19.62,0,0,1018.64,0,15.58,47.73,0,0.81,0,56.16,0,0,0,0,0
108-118,0,1.95,0,14.87,1.22,3.02,317.66,0,0,2.66,33.79,0,0,0.75,0,0,2.8,0,0,9.17,1.19,1.25,1107.85,0.56,13.07,41.49,0,2.61,0,54.93,0.44,0,1.53,2.06,0
120,0,0,1.28,1.69,0,0,151.18,0,0,8.35,26.69,0,4.47,0,1.05,0,4.14,0,0,20.6,0,6.89,1273.69,0,14.41,33.88,0,14.41,0,25.46,6.66,0,12.47,0,0
