stage,epidermis,eye,fin_mesenchyme,mesenchyme,neural,periderm
 14-21,0.85,0,0,0,1.01,0
 48-58,0,0.61,0,0,0.78,0
 60-70,0,0,0,5.65,0,0
 84-94,0,6.2,0,0,0,0
108-118,0,0,0.72,0,0,0
120,0,0,0,0,15.59,16.16
