stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.09,650.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19,0,0,0,0,0,0,0,0,0
  5-6,22.03,574.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0
  7-9,0,6.85,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,49.6,0,0,0,30.99,0,8.46,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,19.01,0,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,0,4.05,3.74,0,1.12,0,0,0,1.41,0,0,1.3,0,0.82,0,0,6.06,0,3.36,0,0,0,4.38,2.12,0,0,0,0,7.56,0.97,6.98,17.76,1.85,0,0,4.28,0,0
 24-34,0,0,4.96,0,10.94,0,0,2.17,0.75,0,0,0,0,0,1.91,0,0,0,0.78,0,0,15.92,0,0,4.6,37.38,1.33,2.8,0.65,0,0,137.2,2.49,37.96,10.28,7.45,0,0,33.21,0,0.96
 36-46,0,0,3.75,0,17.03,0,0,12.81,10.93,1.3,0,2.38,0,0,2.25,0,0,0,0,0,0,24.37,0.77,0,7.42,37.69,9.91,0.59,2.98,0,0,298.38,1.92,39.09,1.54,13.56,0,0,40.34,0,3.01
 48-58,0,0,3.14,0,24.49,0,0,32.14,12.33,6.09,0.97,14.71,0,0,0.71,1.24,0,0,1.43,0,0,39.38,0.89,0,4.37,92.92,20.78,0.48,0,0,0.61,192.01,0.52,44.42,0,23.79,0,0.84,79.81,0,26.49
 60-70,0,0,0.9,0,29.64,0,0,52.38,20.9,8.16,0,86.63,0.77,0,1.98,4.43,0.58,0,13.56,0,0,129.32,0.74,2.69,8.99,81.49,33.96,1.19,0.85,0,3.19,241.55,6.37,20.71,0,16.37,0,1.2,84.31,0,6.65
 72-82,0,0,3.8,0,62.9,1.41,0,143.59,8.17,0.72,0,144.13,3.16,0,4.3,0,3.62,0.59,4.57,2,0,195.44,0.52,5.59,5.08,152.99,1.74,0.58,4.68,0,2.91,235.39,0.53,27.1,0,15.88,4.34,4.76,358.44,5.9,55.29
 84-94,0,0,4.26,0,146.59,0.77,0,201.53,4.31,6.71,0,98.12,2.13,0,14.81,3.25,12.68,4.88,6.5,9.76,0,192.82,1.75,3.49,5.49,171.81,5.28,18.85,0.92,0,12.94,685.55,7.75,36.11,0,2.2,0,5.71,277.87,10.54,39.62
 96-106,0,0,3.04,0,394.96,23.62,2.14,300.82,10.61,14.09,5.97,145.55,5.37,0,22.42,3.83,44.94,6.99,22.33,12.81,0,269.25,7.89,12.12,20.48,197.25,11.14,14.02,4.56,0,20,1070.89,1.9,55.46,0,21.14,10.43,5.16,484.64,3.56,58.3
108-118,1.39,0,7.34,0.59,500.65,1.89,13.4,348.15,11.81,20.17,4.63,169.83,23.01,0,18.11,2.85,91.69,40.38,26.22,7.08,2.26,229.93,26.13,12.4,10.48,191.3,7.05,22.41,4.9,0,46.83,961.56,10.79,43.28,0,8.58,11.73,2.35,390.34,8.5,99.43
120,0,0,7.26,0,434.78,11.34,0,255.75,7.34,32.54,0,157.72,11.55,0,33.3,0,33.39,19.51,24.47,3.72,0,273.54,12.98,6.37,9.87,181,4.73,27.4,15.08,0,104.08,670.02,7.96,26.68,0,8,0,10.54,676.35,9.78,40.87
