stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,7.19,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,18.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.84,1.57,0,0,0,0,0,0,0,0,0,0,0.86,0,0.84,7.84,4.25,0,0,0,0.89,1.57,0.83,9.42,0,0,0,0
 24-34,0,0,1.71,0,0,0,0,0,0,2,0,0,0,0,26.58,0,2.47,18.89,2.34,0,0,0,0,0,0,26.85,0,0,0,0
 36-46,0,0,0.55,0,1.04,0,11.74,1.84,0,0.69,2.77,0,0,0,24.38,0,2.41,43,10.27,0,0,0,0,0,0,44.57,0,0,0,0
 48-58,0,0,2.01,0,17.15,1.11,0,0,0,0,0,0,0,0,17.28,1.35,0.73,42.28,6.86,0,0,0,0,0,0,19.63,0,0,0,0
 60-70,0,0,3.82,0,22.14,0,0,0.62,0,0,6.48,0,1.13,0,15.01,5.65,0,58.48,9.16,4.76,0,0,0,0,0,12.28,0,1.58,0,0
 72-82,0,0,2.39,2.91,27.07,0,0,8.16,0,1.95,0,0,0,0,15.56,3.73,0,151.6,6.52,0,0,0,0,0,0,14.08,0,1.48,1.21,3.38
 84-94,0,0,0,0,20.17,0,0,0.97,0,0,1.2,0,0,0,2.67,9.78,0,100.37,11.05,0,0,0,1.66,0,0,21.48,0,0.88,0,0
 96-106,0,0,1.58,0,22.35,0,0,7.09,0.98,0,0,0,0,0,16.67,0,1.08,69.86,1.42,0,0,3.2,0.94,0,0,7.2,1.21,0,0,0
108-118,0,0,4.08,11.78,14.5,0,0,6.98,0,0,0,0.85,0,0.59,5.15,0,0.95,120.29,5.38,0,0,0,0,0,0,2.58,2.13,0,0,0
120,0,0,6.25,0,7.37,0,0,3.73,0,0,1.28,0,1.84,0,17.05,37.6,0,162.11,11.1,0,0,0,0,0,0,16.13,0,0,0,0
