stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,46.58,185.69,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0
  5-6,9.47,31.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.64,0,0.68,0,0,0,0,0,0
 36-46,0,0,0,0,2.08,0.81,0,0,0,0,0,0.55,4.88,0,0,0,1.07,0,8.81
 48-58,0,0,0,0,4.26,0.39,0,0,0,0,0,0,4.7,0,0,0,1.77,0,0
 60-70,0,0,0.62,0,2.21,0,0.85,0,5.21,0,0,0,3.63,0,0,0,1.23,0,0
 72-82,0,0,0,0,5.46,0,0,0,0.55,0,2.26,0,16.24,0,0,0,6.41,0,0
 84-94,0,0,0.56,0.84,0,0,1.48,0.91,0,0,0,0,12.95,0.76,0,0,0,0,0
 96-106,0,0,0.99,0,8.67,0,0,0,0,0,0,0,8.14,0,0,0,0,1.25,0
108-118,0,0,0,0,0,0,3.75,0.85,0,0.43,0,0,6.06,0,0,0,0,8.77,0.51
120,0,0,0,0,16.11,0,10.13,0,0,0,0,0,10.81,6,0,0,0,0,0
