stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37,0,0,0,0,0,0,0
 10-12,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0
 14-21,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,1.74,3.77,3.06,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0.6,3.59,0,0,0,0,0,0,0
 36-46,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,1.73,0,0,13.09,1.69,0,0,0,0,2.75,0
 48-58,0,0,0,0,0.52,0,0.69,0,0,0,0,0.62,0,0,1.7,0,0.88,3.82,0,0,0,0,0,1.29,0
 60-70,0,0,0,0.78,0,0,0,15.69,0,0,0,0,0,0,5.38,0,0.68,8.05,0,0,0,0,0,3.33,0
 72-82,0,0.81,1.17,8.62,3.28,0.5,2.46,17.56,0,0,0,0,0,1.81,6.24,0.56,0,4.9,0,1.08,0,0,0,2.11,0
 84-94,0,0,2.31,4.78,0,0,1.18,4.79,0,0,1.52,0,0,0,9.96,0,0.7,3.16,0,0,0,0,0,2,0
 96-106,0,3.03,0,30.5,19.74,0,0,7.64,0.67,0.78,0,4.62,2.06,0,7,0,1.66,8.66,0,0,0,0,0,0,0
108-118,0,0,0,1.96,9.1,1.04,0,11.57,0,0,0,1.59,0,0,14.9,3.54,2.47,19.01,0,0,0.56,0,0,0,1.53
120,0,11.17,2.75,0,19.31,0,0,2.5,0,0,0,0,0,0,18.48,0,1.87,4.36,0,0,0,0,0,0,0
