stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,271.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.42,0,0,0,0,0,0,0,0,0
  5-6,224.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07,0,0,0,0,0,85.21,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.12,0,0,0,0,0,0,0,0,0,73.21,0,0,0,0,0,0,0,0,0,0,120.15,0,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.26,0,0,0,0,0,31.79,0,0,0,0,0,0,0,0,0,0,164.6,0,0,0,39.95,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,47.02,1.38,0,0.82,0,0,0,3.09,1.08,0,0,0,0,0,0,0,3.35,0,0,14.61,209.61,2.73,0.98,0,0,0,0.92,13.14,0,58.52,233.16,0,0,0,0,0
 24-34,0,0,0,1.22,0,0,7.51,0,0,0.86,12.28,0,0,0,0,0,0,0,0,13.22,0,0,8.04,435.32,3.45,19.36,0,0,0,0,0,0,3.35,673.66,0,0,9.7,0,2
 36-46,0,0,0,1.89,0,0,150.35,0,0,0,27.75,0,0,0,0,0.62,0,0,0,21.9,0,0,3.63,775.12,0,11.17,0,0,0,0,0,2.18,0.91,2516.79,0,0,0.86,0,0
 48-58,0,0,0,6.18,0,0,404.35,0,0,1.81,143.51,0,0,0,0,0,0.41,0,0,28.2,0,1.12,4.17,1255.11,0.52,5.94,0,0,0,0,0,0.93,0,2937.94,0,0,2.08,0,9.84
 60-70,0,0,0,9.44,0,0,459.85,0,0.94,0,72.73,0,0,0,0,0,0,0,0,10.55,0,0,3.78,1367.12,0,1.8,1.23,0,0,1.68,0,0,0,2614.59,0,0,0,0,13.91
 72-82,0,3.67,0,4.3,1.28,0,227.65,1.37,2.38,0,59.91,0,0,0,0,0,0,0,0,29.8,0,0.7,1.23,1485.76,0,6.09,0,0,0,1.7,0,0.7,0,2040.91,1.21,2,2.23,1.07,11.24
 84-94,0,1.87,0,8.37,0.84,0,205.73,2.25,0,0,49.52,1.32,0,0.88,1.07,1.36,0,0,0,20.62,0,5.82,3.84,1049,0,5.66,0,0,0,8.48,0,0,0,1323.88,0,1.42,0,0,0
 96-106,0,0.83,0,9.93,7.96,2.87,166.88,0.81,0,4.01,52.39,0,0,0,7.85,0.78,5.5,6.38,0.76,35.22,0,1.18,11.48,1107.94,0.89,14.86,0.62,0,0,10.13,0,0,0,560.15,1.88,4.16,2.43,0,11.16
108-118,0,1.49,0,21.27,0,0.46,173.72,0,1.24,1.16,100.73,0.45,0,0,6.07,1.05,0,0,4.47,35.99,3.95,1.99,0,1970.63,0,7.87,0,0,3.27,6.38,0,0,0,761.73,0,0.5,0,0,4.3
120,0,0,0,18.04,0,0,120.23,0,3.49,0,56.22,3.87,0,0,0,0,2.63,0,0,9.85,0,0,3.4,1264.71,0,0,0,0,0,6.71,0,0,0,700.47,0,0,4.33,0,0
