stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,645.76,11345.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,1232.48,15421.93,0,0,0,0,0,0,0,0,0,0,40.76,0,0,0,0,0,0,0,0,0,0,0,482.79,49.15,0,0,173.52,0,242.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,156.68,348.49,0,266.64,0,0,0,818.64,0,0,0,0,260.21,0,0,0,0,0,0,0,0,0,0,0,8390.31,209.4,0,0,2329.44,0,5.57,29.89,0,12.83,0,0,0,0,0,0,0,0
 10-12,0,199.15,0,205.26,0,49.75,0,496.53,0,0,0,0,71.64,0,0,0,0,0,9.05,0,0,0,0,0,4377.9,130.8,0,0,1275.78,0,14.87,30.82,4.56,245.56,0,0,8.95,0,0,0,0,0
 14-21,0,0,1.05,8.9,66.74,22.92,0,39.86,0,0,12.81,8.21,3.04,1.07,2.27,1.99,0,1.12,0,0,63.33,0,0,33.21,689.42,14.42,1.02,7.61,17.96,0,4.4,0.9,72.04,9.14,0,45.24,231.46,0,0,2.88,0,0
 24-34,0,0,0,3.29,31.92,6.18,0,188.36,0.68,2.09,34.66,2.09,0.67,2.77,0.82,4.44,0,4.02,2.75,0,115.27,1.33,0.81,48.74,1379.35,6.35,10.78,10.9,0,0,15.14,0,0,7.38,1.16,12.5,281.23,0,0,29.57,0,0.78
 36-46,0,0,0,0.63,17.47,0.82,0,315.06,0,3.2,32.7,0,0,2.3,0,0,0,3.41,0.57,0.77,80.45,1.19,1.14,17.82,724.41,21.01,0.6,4.12,0,0,6.11,0,0,2.04,0,0,152.14,0,0,23.5,0,1.44
 48-58,0,0,0,0,21.27,2.03,0,436.48,7.16,3.62,43.89,0.46,0,0.66,0,3.55,1.23,2.78,0,0,98.88,0.53,1.22,28.23,529.28,0.5,2.88,1.97,0,0,4.67,0,0,17.14,1.07,0,81.17,0,0,10.72,0,11.88
 60-70,0,0,0.82,0,12.25,1.34,0,351.29,8.61,3.4,45.46,0.63,0,1.09,6.26,0.95,0,7.39,0,2.57,107.69,0,4.07,14.5,365.82,1.56,3.73,4.68,0,0,9.48,0,0,0.93,0,0,40.96,0,0,7.99,0,0
 72-82,0,0,0.93,0,9.67,18.04,0,223.76,0,4.63,50.05,3.06,0,0.5,2.21,0.59,1.62,2.51,0,0,104.22,1.56,11.33,12.02,343.56,0.5,1.88,3.63,0,0,2.01,0,0,0,0,0,44.87,0.74,6.69,16.92,0,0
 84-94,0,0,0,0,15.08,3.84,0,116.4,0,2.94,26.77,0.71,0,6.56,1.99,1.49,0.58,3.67,1.5,0,65.16,0.76,2.91,10.09,167.23,3.27,2.42,4.49,0,1.01,7.09,0,0,0,0,0,7.68,0.9,0.68,15.31,0,0
 96-106,0,0,0,0,9.94,9.97,0.59,136.62,1.71,2.83,43.84,3.42,0,3.27,4.13,0,4.63,2.94,0,0,71.81,0,2.29,15.87,195.97,0,5.63,7.85,0,0,7.04,0,0,1.3,0,0,14.81,0,5.51,10.06,3.49,0
108-118,0,0,0.71,0,5.57,10.62,5.01,102.81,2.83,2.66,45.19,3.62,0,2.52,3.46,0.45,8.22,3.76,1.91,4.52,88.8,0.75,6.78,6.73,219.72,1.95,4.86,4.39,0,3.47,6.94,0,0,0,0.41,0,0,1.89,0,22.35,0.63,0
120,0,0,0,0,22.33,24.89,3.41,104.3,0,0,55.59,7.29,0,1.15,4.86,0,2.22,0,0,0,107.84,5.62,0,20.04,248.27,2.28,9.34,7.46,0,4.48,3.85,0,0,0,0,0,0,0,0,44.84,0,1.64
