stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.67,180.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,47.83,245.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,14.22,0,0,0,0,0,0,0,0,0,0
  7-9,15.62,0,0,9.07,0,0,17.73,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,156.95,11.94,0,0,61.22,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,15.25,0,9.65,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.98,15.94,0,0,127.02,7.72,0,0,11.42,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,12.77,1.89,2.52,0,0,0,0.87,0,0,0,0,0,0,0,2.42,0,2.41,0,0,4.74,45.74,13.78,0,0,0.83,0,0,1.89,0,0,2.88,14.8,0,0.93,0,1.06
 24-34,0,0,0,0.83,5.55,0,5.49,2.28,1.86,0,0.89,0,0,0.75,0,0,0,0,0.79,0,16.93,0.71,0,8.87,89.69,3.29,1.34,2.38,0,3.93,0,0,0,1.83,1.27,20.27,0,6.44,0,2.64
 36-46,0,0,0,0,4.52,0,8.91,0,0,0.61,2.61,0,0,1.32,0,0,0,0.67,0,0,12,0,0.89,6.91,45.76,1.84,1.13,0,0,1.36,0,0,0.74,0,0,10.37,0,0.58,0,0
 48-58,0,0,0,0,0,0,17.52,0,0,0.42,4.78,0,0,0.58,0,0,0,0.85,0,1.04,16.14,0,0.39,2.16,24.91,0,0,0,0,0.95,0,0,0.42,1.93,0,7.63,0,4.98,0,4.75
 60-70,0,0,0,0,5.91,0,12.79,0,0.59,3.19,9.96,1.25,0,0,0.95,0,0,0.7,0,0.88,16.28,1.53,0,0.75,13.71,0,0,0.59,0,1.25,0,0,0,0,0,0,0,11.49,0,3.75
 72-82,0,0,0,0,2.45,4.65,14.27,0.57,0,1.11,6.17,15.81,0,0,2.56,0,5.25,1.76,0.62,0,20.57,0,1.31,4.54,21.44,0,0,0,0,0.94,0,0,0,0,0,0,0,6.67,1.42,0
 84-94,0,0,0,0,7.74,0,12.03,0,0,1.57,5.02,9.33,0,0,0.65,0,1.74,0,0,5.82,34.11,0,3.97,4.81,15.44,0,2.26,2.8,0,0,0,0,0,0.59,0,1.23,2.49,0.58,1.26,11.14
 96-106,0,0,2.98,0,1.8,5.28,21.37,0,0,0,19.08,176.17,0,1.03,3.47,1.54,0,0,0.68,0.57,35.06,0,0,1.82,34.13,0.58,3.04,1.76,0,0.76,0,0,1.71,0,0,0.58,6.23,2.94,0.64,0
108-118,0,0,0,0,1.6,0,12.69,0,3.77,2.7,10.89,304.01,0,0,2.37,1.33,1.33,1.68,2.89,0.83,25.95,0,0,3.02,42.45,0.44,0,0,0,0.8,0,0,0,0,0,5.9,0,3.67,2.14,6.01
120,0,0,0,0,6.83,0,26.66,1.61,0,3.49,21.08,218.65,0,0,1.3,0,2.62,0,0,0,11.27,0,0,5.86,57.25,2.24,1.26,1.11,0,8.27,0,0,0,0,0,0,0,16.5,0,0
