stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,37.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.12,4.5,0,0,4.18,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,6.43,0,5.1,10.23,0,0,0,0,0,0,0,0,0,0,0,104.49,59.63,0,0,26.3,0,0,8.71,0,0,0,0,0,0
 14-21,0,0,0,0,0,19.97,0,0,0,0.89,0,0,0,0,0.94,0.84,0,2,45.55,1.25,0,0,0,0,0.97,0,17.16,0,0,7.51,0,0
 24-34,0,0,0,0,2.15,3.96,4.37,0.78,1.84,4.85,1.67,0,0.64,1.41,1.6,9.13,0,11.46,206.01,1.54,0,1.31,0,0,0,0,48.65,0,0,46.71,0,6.97
 36-46,0,0,1.72,0,4.87,0,14.76,0,0,25.89,2.97,0,0,0,7.98,23.28,0,7.27,305.37,0.84,0,0,0,0,0,0,47.17,0,0,24.15,0,5.1
 48-58,0,0,0,0,0,0,16.67,0,1.28,43.3,0.58,0.57,3.92,0,14.73,4.2,0,3.36,253.9,4.23,0,0.51,0,0,0,0,44.14,0,0,6.41,0,25.6
 60-70,0,0,0,0,3.73,0,255.39,0,13.48,59.12,2.08,0.96,0,0,1.22,32.23,2.71,8.24,364.97,0,0,1.67,0,0.84,0,0,37.23,0,0.82,13.65,0,33.13
 72-82,0,0,0,0,0.55,0,336.07,0,2.7,45.36,0.66,1.85,0,0,2.93,15.38,3.51,3.88,317.74,0,0,0,0,0,0,0,25.31,0,0,27.89,0,57.05
 84-94,0,0,0,0,4.81,0,209.94,0,0.81,47.86,0,1.03,0.71,0,5.3,18.71,3.91,1.18,285.2,0,0,0.85,0,0,0,0,25,0,0.71,16.99,0,15.05
 96-106,0,0,0,0,3.74,0,347,0.96,0,43.05,1.22,0.68,0.75,0,11.24,9.52,0.76,3.18,266.97,0.79,0,0,0,3.05,0,0,7.65,0,0,18.7,2.86,16.74
108-118,0,0,0,0,4.89,0.97,224.68,0.74,3.49,43.38,0,3.15,0.41,2.33,0,22.8,1.23,3.75,313.55,0,1.07,0.48,0,0,0,0,3.36,4.26,0,15.84,0,7.41
120,0,0,0,0,3.14,0,203.08,0,0,45.28,1.17,3.41,0,0,0,16.57,0,0,470.59,0,0,0,0,0,0,0,0,0,2.09,28.78,0,0
