stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,1.23,0,0,0,0,0,0,4.72,0,0,0,6.36,0
 24-34,6.18,0,3.37,0,3.26,0,0,0,1.55,0,0,38.8,0,0,0,20.02,0
 36-46,0.68,0,1.91,0,10.78,0,0,0,10.09,0,0.8,230.04,0,0,0,12.77,0
 48-58,0.67,0,23.77,0,10.7,0,0,0,5.16,0,3.09,242.59,0,0,3.97,4.13,0
 60-70,0,0,3.62,5.34,0.8,0.85,0,0,29.25,0,0,297.51,0,0,0,0.87,0
 72-82,0,1.51,5.31,0,1.05,0,0,0,8.69,0,0,134.3,5.21,0,0,0,0
 84-94,0,0,2.31,0,20.12,10.54,0,0,30.8,0,0,185.67,2.83,2.3,0,10.45,0
 96-106,0.81,0,3.84,0,5.44,6.16,0,4.97,17.53,0,0,99.27,0.83,0,0,0.99,0
108-118,0,0,8.6,0,7.16,3.88,0.78,0,26.26,2,0,86.22,0.44,2.37,0,6.09,1.68
120,6.36,0,3.76,0,0,8.14,4.61,0,17.52,0,0,241.27,2.3,0,0,7.55,0
