stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,5.36,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,12.37,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,187.85,6.37,0,0,21.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,0,18.04,1.07,0,12.86,0,0,0,4.29,1.5,0,0,0,0,0,0,0,0,9.36,0,0,1.43,106.92,0,7.81,3.39,0,0,0,0,0,0.91,59.91,0,0,2.89,0,0
 24-34,0,1.91,1.39,12.39,0.81,0,49.06,0,3.84,0,19.28,0,0,0,0,0.62,0,0.78,0.61,0,28.66,0,0,5.98,1444.86,0.68,29.39,14.61,0,0,2.29,0,4.15,0,292.24,0,0,23.22,0,1.12
 36-46,0,0,0,6.71,0,0,726.59,0,0,0.57,79.67,0.61,0,0,1.27,2.47,2.31,0.6,0,0,22.75,0,0,3.17,3751.41,0.66,25.13,18.62,0,0,22.19,0,2.28,0,781.75,0,0,15.51,0,0
 48-58,0,0.54,0,25.59,8.79,0,1743.66,1.02,8.64,0.39,204,0,0,0,0,0,0.4,1.48,2.22,0.73,67.96,1.01,1.23,14.93,4045.69,5.15,25.59,13.49,0,0,6.62,3.76,0.74,0,776.81,0,0.61,24.33,0,6.53
 60-70,2.52,0.65,0,17.46,0,0,3067.25,0,0,0,148.5,3.08,0,1.77,0.65,5.42,1.86,6.8,1.41,2.19,93.11,3.03,1.82,12.44,3434.75,5.57,7.96,25.98,0,4.65,6.26,0,1.17,0,404.19,4.2,1.55,12.96,1.25,9.43
 72-82,0,5.34,0,26.2,4.28,0,2289.53,2.39,0,2.17,277.44,5.16,0,6.91,0,2.86,0.73,14.76,0,0,92.27,0,4.1,10.57,2188.38,0.58,13.03,31.95,0,2.17,2.85,0,0,0,188.93,10.01,0.73,20.57,1.96,7.38
 84-94,0,2.98,0,31.64,3.55,0,1500.77,1.32,0,1.32,174.56,10.82,0,1.83,1.2,0.83,0.67,16.28,0.83,0,92.36,0,0.58,8.06,1399.1,0.56,6.91,24.97,0,0,5.6,0,1.39,0,128.78,21,0.57,12.41,1.2,0
 96-106,0,1.1,0,38.6,11.46,0,1316.76,0,0,0,210.49,6.25,0,1.3,8.35,1.31,0.75,17.99,1.8,3.66,81.14,5.2,0,7.06,1027.71,0,9.95,30.29,0,1.94,1.05,0,1.98,0,46.6,51.12,1.73,28.88,5.03,7.48
108-118,0,0,0,45.74,2.3,3.64,1295.22,0,0.52,0,206.03,21.75,0,0.49,0.48,5.08,2.62,24.87,0.97,4.79,69.09,5.99,0,7.21,1270.73,0,13.64,23.96,0,3.49,9.37,0,1.68,0,38.18,78.51,0,17.1,3.8,0
120,0,0,0,35.76,0,1.14,934.79,0,0,0,242.58,19.34,0,0,0,10.76,0,23.49,0,0,128.78,0,0,2.23,1468.14,0,2.49,31.12,0,0,1.04,0,2.78,0,13.51,11.08,0,18.2,0,0
