stage,epidermis,erythrocytes,eye,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,spinal_cord,vascular_smooth_muscle
 14-21,0,0.99,0,1.23,0,0,0,0,0,0.9,0,0,0,6.58,0
 24-34,0,0.81,0,0,0,0,0,0,0,7.97,1.34,0,0,4.28,0
 36-46,0,0,1.31,0.97,0,0,1.56,0,0.63,6.38,0,0,0,1.28,0
 48-58,3.35,0,3.4,0,5.67,0,2.42,0,0.47,11.39,0.97,0,0,1.02,0
 60-70,0,0,2.6,0,0,0,0.83,0,0,3.3,0,0,0,0.7,0
 72-82,0,0,0,0,0,0,0,0,0,0.86,0,0,0.64,0,0.78
 84-94,0,0,0,0,0,0,0.68,0,0,0,0,0,0,1.49,0
 96-106,0.56,0,0,0,0,0.58,1.02,1.29,0,0,0,0,0,2.5,0
108-118,0,0,0.98,0,0,0,0.75,0,0,3.08,1.3,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0
