stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,1.73,0,0,0,0,0,0.79,0,0,0,0,7.64,0.77,0,2,2.46,0,0
 36-46,0,0,1.96,0,0,0,0,0,0,0,4.02,0,1.23,14.74,0,0,0,7.89,0,0
 48-58,1.17,0,4.74,0.45,0.57,1.02,0,0,0,0,0.65,0,0,28.3,0.78,0,1.1,1.73,0,0.38
 60-70,0,0,13.05,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,8.36,0,0
 72-82,0.97,0,14.9,0,0,3.33,0,0,0,0.64,1.82,0,0,38.4,0,0,0,2.47,0,0
 84-94,2.12,0,6.37,0,0,0,0.81,0,0,0,0.65,1.39,0,11.12,0,0,0,0,0,0
 96-106,0,0,17.85,1.43,0,0.85,3.45,0,0,0,17.51,0,0,17.95,0,1,2.76,2.51,0,0
108-118,1.05,0.45,1.58,0,0.44,0.98,0,0,0,0.51,0,0,0,7.64,0.81,0,0,0,1.35,0
120,0,0,2.3,0,0,0,0,4.26,0,0,0,0,0,1.5,0,0,0,0,0,0
