stage,blastomeres,endocrine.pancreas,endoderm,eye,fin.epithelia,glial,hatching.gland,ionocyte,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,41.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.69,5.86,0,0,5.64,0,0,0,0,29.32,13.34,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,38.03,5.96,0,0,7.22,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,1.16,0,0,0,1.4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0
 36-46,0,0,0,0,1.62,0,0,0,0,0,0,4.55,0,0,0,0,0
 48-58,0,0,0,0.78,0,0.76,0,0.37,0,1.05,0,14.53,0,0,0,0,1.31
 60-70,0,0,0,0,0,0,0,0,0,0,0,12.06,0,0,1.54,0,0.96
 72-82,0,0,0,4.87,0,0,0,0,1.08,0,0,21.96,0,0,0,0,0.9
 84-94,0,0,0,0,0,0,0,0.56,1.58,0,0,15.34,0,1.68,0,0,12.04
 96-106,0,0,0,0.75,0,0,0,0,0,0,0,10.43,0,0.72,0,0,0
108-118,0,0,0,1.95,0,0,0,0,0,0,0,13.39,0,0,0,0,3.76
120,0,11.35,0,0,0,0,0,0,0,0,9.54,20.17,0,0,0,0,0
