stage,axial,blastomeres,epidermis,erythrocytes,fin_epithelia,glial,gut,immune,ionocyte,mucous,neural,paraxial_mesoderm,periderm,somites,vasculature
  3-4,23.04,16.71,0,0,0,0,0,0,0,0,0,0,33.8,0,0
  5-6,19.65,53.16,0,0,0,0,0,0,0,0,45.25,9.32,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.5
 48-58,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0.64
 72-82,0,0,1.05,0,0,0,0,5.71,0,0,1.05,0,6.37,0,0.99
 84-94,0,0,0,0,0,0,0,3.13,0.6,0,0,0,7.75,0,3.59
 96-106,0,0,0,3.14,0,0.57,0,5.51,0,0,0,0,34.26,0,0
108-118,0,0,0,0,0.5,0,0.56,2.38,0.52,0.42,3.32,0,38.3,0,0
120,0,0,1.07,0,0,0,0,4.2,0,0,0,0,11.93,0,0
