stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.08,0,1.92,17.88,1.07,0,0,0,1.16,0,1.86,8.61,0,1.62,0
 24-34,0,1.15,0,0,0,0.79,0,2.54,0,0,0,0,0,31.76,11.87,0,0,0,0,0,0,7.33,0,0,0
 36-46,0,1.24,0,1.93,0,0,0,6.93,0,0,9.64,0,0.89,43.35,6.37,0,0,0,0,0,0,17.16,0,0,0
 48-58,0,0.71,0,0.43,0,0,0,0.49,0,0,0.39,1.17,0,30.04,5.65,0,0,0.43,0,0,0,13.41,0,0,0
 60-70,0,0,0,0.59,0.98,0.72,0,2.42,0,0,0.71,0,0,30.14,0.89,0.78,0,0,0,3.75,0,11.51,0,0,0
 72-82,0,0,0,14.26,0,4.04,0,2.27,0,0,2.51,0.66,0,62.49,2.92,0,0,0,0,0.66,0,7.85,3.43,1.04,0
 84-94,0,0,6.24,7.48,0,27.42,0,4.51,0,0,0.64,0,0,28.8,6.8,0,0,2.8,0,0,0,7.7,6.52,0.69,0
 96-106,0,2.23,0,0.91,0,34.19,0.56,5.75,0,10.7,0,0,0,47.02,3.19,0,0,0.64,0,0,0,11.65,14.97,0,0
108-118,0,1.43,0,10.48,0.45,64.94,0,6.83,0.81,0,9.26,0.6,0,60.78,6.98,0,0,1.79,0,0.87,0,10.49,19.92,0,4.27
120,0,0,0,14.51,5.45,28.7,0,4.13,0,0,22.53,1.65,0,138.43,15.53,0,0,0,0,0,0,6.72,26.49,0,0
